parent_id|short_name|name|area_webpage|tariffs_ref
|ideal|Impulsora del Desarrollo y el Empleo en América Latina|https://www.ideal.com.mx/|
|rco|red via corta|https://redviacorta.mx/|https://redviacorta.mx/es/tarifas
|aleatica|aleatica|https://www.aleatica.com/|
ideal||autopista guadalajara tepic s.a de cv.|https://www.autopistaguadalajaratepic.com.mx/tarifas/|
|ocacsa|Operación y Conservación de Autopistas Concesionadas S.A. de C.V.|https://www.autopistajalacompostela.com/tarifas|
|capufe|caminos y puentes federales|https://pot.capufe.mx/gobmx/transparencia/tarifas.html|
ideal||autopista tepic mazatlan|https://www.tepicmazatlan.com.mx/tarifas/|
coconal|acsa|autopistas de cuota s.a de c.v|https://autopistasdecuota.com/ruta/durango-coahuila|
coconal|acsa|autopistas de cuota s.a de c.v|https://autopistasdecuota.com/ruta/chihuahua|
|c&g|MRO Construcarr Y De La Garza S.A.P.I De C.V.|https://construobrasdelagarza.com/|
|cams|Concesionaria Autopista Monterrey-Saltillo|https://operadoravial.com/tarifas/|
|omega|omega|https://grupo-omega.com/|
|reanal|red estatal de autopistas de nuevo león|https://reanl.com.mx/nosotros/tarifas/|
||super carreteras del norte|http://supercarreteras.com/|
coconal|opan|operadora de autopistas del noreste|https://autopistasdecuota.com/ruta/nuevo-leon-tamaulipas|
|copa|compañia operadora de puentes y autopistas|https://copaoperacion.com/|
aleatica|gana|Grupo Autopistas Nacionales S.A de C.V|https://www.ganamexico.com.mx/rutas-y-tarifas/|
|pinfra|promotora de carreteras ecatepec pirámides s.a de c.v||
||MRO Autopista Golfo Centro S.A. de C.V.|https://autopistagolfocentro.com/tarifas|
|pinfra|desarrollo global de concesiones s.a de c.v||
|pinfra|Promotora y Operadora de Infraestructura, S.A.B. de C.V|https://www.pinfra.com.mx/concesiones|
|copexa|Concesionaria Autopista Perote Xalapa, S.A de C.V. |https://copexa.com/tarifas|
||Cardel-Veracruz|https://caseta.mx/servicios/tarifario/|
|cpm|Concesiones y Promociones Malibrán, SA de CV||
|cas|Concesionaria de Autopistas del Sureste|https://casmexico.com/mapasytarifas|
|oav|operadora de autopistas villahermosa||
||Operadora y Mantenedora Golfo Centro S.A. de C.V|http://autopistagolfocentro.com/tarifas|
|orler|Servicios y Construcciones ORLER, S.A. de C.V.|https://orler.com.mx/|
|hoatsa|operadora y administración técnica s.a de cv.|http://hoatsa.com.mx/|
|auneti|Autovía Nuevo Necaxa - Tihuatlán, S.A de C.V|https://www.auneti.mx/auneti/tarifas.jsp|
|Mota Engil|Autopista Tuxpan-Tampico S.A de C.V|https://autopistatuxpantampico.com/tarifas/|
||Autopista Cardel-Poza Rica S.A. de C.V|https://autopistacardelpozarica.com/tarifas/|
||Concesionaria Bicentenario S.A. de C.V.|https://libramientocelaya.com.mx/tarifas/|
hoatsa||libramiento irapuato|http://libramientoirapuato.mx/tarifas.html|
|gma|grupo mexico autopistas|https://www.gmautopista.com/Paginas/Tarifas.aspx|
|ovi|Operadora Valle de la Independencia ||
rco||Red De Carreteras De Occidente S.A.P.I.B. de C.V.|https://redviacorta.mx/es/tarifas|
|meta|mexicana de técnicos en autopistas s.a de c.v|https://www.libramientoslp.mx/meta#tabs|
coconal|coinsan|Concesionaria de Infraestructura de San Luis, S.A. de C.V.|https://autopistasdecuota.com/ruta/san-luis-potosi|
ideal||libramiento toluca|https://www.libramientotoluca.com.mx/tarifas/|
|SAASCAEM|SAASCAEM|https://saascaem.edomex.gob.mx/tarifas-red-estatal-autopistas|
coconal|acomex|AUTOVÍAS CONCESIONADAS MEXIQUENSES, S.A. DE C.V|https://autopistasdecuota.com/ruta/estado-de-mexico|
coconal|opasa|operadora de autopistas s.a de c.v|http://www.autopistavallestamuin.mx/|
|coconal|Compañía Contratista Nacional, S.A.P.I. de C.V.|https://autopistasdecuota.com/|
||MRO Estado de México-Michoacán S.A.P.I. de C.V|https://website.autopistaatlacomulcomaravatio.com/index.php/tarifas/|
|lipsa|libramiento ica-la piedad s.a de c.v||
||Autopistas De Michoacán S. A. De C. V.|https://www.autopistasmichoacan.mx/prepara_tu_viaje.php|
|tuca|Autopista tuxpán tampico|https://autopistatuxpantampico.com/tarifas|
||Operadora de Autopistas Sayula|https://autopistaguadalajaracolima.com/mapas-y-tarifas/|
ideal||autopista mazatlán culiacán|https://www.mazatlanculiacan.com.mx/tarifas/|
|lico|libramiento ciudad obregón s.a de c.v |https://lico.mx/|
|autovan|Autopistas de Vanguardia S.A. de C.V.|https://www.autovan.mx/|
