"tollbooth_sts_id","stretch_id","tollbooth_id"
30,507,606
75,378,1277
117,1415,415
118,206,450
119,207,449
120,207,451
124,203,427
144,1355,787
186,407,752
243,467,465
370,1344,1344
408,163,702
408,163,1573
409,162,704
418,799,308
423,172,319
624,138,392
648,429,120
657,1356,792
667,452,90
672,458,610
673,457,607
680,497,828
716,414,778
737,19,1411
743,371,419
750,823,697
760,380,418
761,380,1265
769,380,418
770,380,1265
808,423,790
820,1040,546
821,1041,546
822,1040,546
829,424,789
830,422,788
837,129,241
838,1048,538
846,722,231
