index,tollbooth_name,direction,road,km,tdpa,M,A,AR,B,C2,C3,C4,C5,C6,C7,C8,C9,VNC,vta,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
001,puente sinaloa,guamúchil-guasave,ex-015,132.300,"11,021",0.3,61.3,0.9,6.9,4.4,4.0,0.5,14.8,1.7,0.2,0.1,4.9,0.0,"4,022,801",8.8,7.2,8.6,8.2,8.3,8.0,8.9,8.4,7.5,7.9,8.1,10.1
002,puente pánuco,alazán-canoas,ex-127,172.100,"4,956",3.5,78.3,0.5,8.4,3.7,1.7,0.2,1.8,1.0,0.0,0.0,0.9,0.0,"1,808,767",8.4,7.4,8.6,8.5,8.6,8.3,8.9,8.3,7.5,7.9,8.3,9.3
003,puente coatzacoalcos,coatzacoalcos-nuevo teapa,ex-180,2.000,"16,078",1.8,84.5,0.1,7.5,2.1,1.9,0.0,0.6,0.8,0.0,0.0,0.7,0.0,"5,868,457",9.0,8.3,8.3,8.3,8.3,8.3,8.3,8.4,7.8,8.0,8.1,8.9
004,puente culiacán,culiacán-el limón,ex-015,22.000,"7,412",0.9,84.5,0.8,4.1,3.5,1.7,0.2,3.5,0.7,0.0,0.0,0.1,0.0,"2,705,396",8.9,8.0,8.8,8.0,8.2,8.0,8.2,7.8,7.6,8.2,8.6,9.7
005,puente alvarado,paso del toro-san andrés tuxtla,ex-180,49.570,"4,311",3.8,76.8,0.5,7.8,4.7,3.4,0.1,1.8,0.9,0.0,0.0,0.2,0.0,"1,573,592",8.4,7.6,9.2,8.8,8.8,8.1,9.3,8.7,7.2,6.7,7.6,9.6
006,puente inter. matamoros,matamoros-brownsville,101-180,0.210,"3,240",0.2,99.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,182,547",8.6,7.9,9.5,8.6,8.6,7.8,8.2,8.1,8.0,8.5,8.0,8.2
007,puente papaloapan,tierra blanca-loma bonita,ex-145,3.500,"2,136",7.1,51.9,5.5,3.6,9.6,9.3,0.4,10.3,0.8,0.0,0.0,1.5,0.0,"779,772",8.7,8.0,9.2,9.0,9.4,8.2,8.6,8.3,8.1,6.8,7.3,8.4
008,puente caracol,tuxtepec-cosamaloapan,ex-175,117.200,"6,595",6.3,69.5,0.6,9.0,4.1,3.0,0.1,2.0,0.4,0.0,0.0,5.0,0.0,"2,407,288",8.2,7.4,8.4,8.2,8.6,8.2,8.6,8.7,7.7,8.1,8.3,9.6
009,puente inter. camargo,camargo-río grande,ex-002,0.000,"1,125",0.1,90.8,0.3,0.0,0.1,0.1,0.1,4.3,0.1,0.0,0.0,4.1,0.0,"410,458",7.8,7.6,9.1,8.9,9.1,7.8,8.2,8.3,7.9,7.8,8.2,9.3
010,puente nautla,nautla-cardel,ex-180,0.700,"5,499",1.4,67.9,0.7,6.2,4.9,4.6,0.3,6.7,2.2,0.1,0.0,5.0,0.0,"2,007,045",7.9,7.1,8.9,8.5,8.5,8.2,9.6,8.9,7.3,7.6,7.9,9.6
011,playas de tijuana,tijuana-rosarito,ex-001d,11.000,"16,455",1.0,97.5,0.0,0.7,0.3,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,"6,006,002",7.2,7.0,8.3,8.0,8.3,8.6,9.7,9.1,8.5,8.6,8.3,8.4
012,rosarito,rosarito-la misión,ex-001d,35.427,"12,104",0.5,90.4,0.0,1.8,1.3,0.7,0.1,4.4,0.2,0.0,0.1,0.5,0.0,"4,418,051",7.0,6.8,8.1,8.1,8.3,8.6,10.4,9.4,8.5,8.3,8.2,8.3
013,nodo popotla,la misión-corredor 2000,ex-001d,38.600,"1,279",0.3,67.6,0.0,0.7,2.4,2.2,0.4,20.5,1.1,0.1,0.4,4.3,0.0,"466,957",6.7,6.4,7.6,8.1,7.5,7.6,9.6,14.4,8.4,8.3,7.9,7.5
014,ensenada,la misión-ensenada,ex-001d,98.599,"14,543",0.4,86.7,0.0,1.8,2.1,1.1,0.2,6.4,0.4,0.0,0.1,0.8,0.0,"5,308,283",7.3,7.0,8.2,7.8,8.1,8.5,10.0,9.4,8.4,8.4,8.4,8.5
015,puente inter. miguel alemán,cd. alemán-roma,ex-002,0.000,"1,916",0.0,98.9,0.4,0.1,0.1,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,"699,352",8.1,7.8,8.7,8.6,9.0,7.9,7.7,7.8,8.3,8.6,8.6,8.9
016,puente inter. reynosa,reynosa-hidalgo,ex-040,0.000,"5,846",0.0,98.9,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,133,947",8.4,7.8,8.9,8.5,8.9,7.9,8.5,8.2,8.2,8.1,8.1,8.5
017,puente grijalva,villahermosa-aquiles serdán,ex-186,17.600,"15,130",1.8,78.1,0.4,4.7,3.5,2.2,0.2,4.7,1.2,0.1,0.0,3.1,0.0,"5,522,513",8.2,7.5,8.6,8.4,8.5,8.2,8.7,8.5,7.8,8.1,8.2,9.3
