index,tollbooth_name,way,highway,km,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
001,puente sinaloa,guamúchil-guasave,mex-015,132.3,13690,0.5,62.7,1.0,4.6,3.9,3.1,0.8,15.9,1.8,0.3,0.0,4.9,0.5,4996930,8.2,7.3,8.4,8.5,9.9,7.7,8.4,8.2,7.5,8.0,8.1,9.8
002,puente pánuco,alazán-canoas,mex-127,172.1,5517,4.3,79.7,0.6,5.5,3.1,2.1,0.2,1.7,1.1,0.0,0.0,1.1,0.6,2013687,8.4,7.5,8.3,8.7,9.3,7.9,8.3,8.5,7.6,8.1,8.0,9.4
003,puente coatzacoalcos,coatzacoalcos-nuevo teapa,mex-180,2.0,11802,7.5,74.0,0.1,10.9,1.1,1.3,0.2,1.0,1.0,0.0,0.0,2.9,0.0,4307635,8.4,7.8,9.3,8.7,9.1,8.5,8.2,7.8,7.5,7.9,8.0,8.8
004,puente culiacán,culiacán-el limón,mex-015,22.0,9070,1.1,86.8,0.9,2.7,2.9,1.5,0.2,2.7,0.6,0.0,0.0,0.2,0.4,3365152,8.0,7.6,8.5,8.6,8.9,8.0,8.3,8.0,7.7,8.5,8.4,9.5
005,puente alvarado,paso del toro-san andrés tuxtla,mex-180,49.57,5033,6.3,77.1,0.5,5.2,3.3,3.1,0.2,1.9,0.9,0.0,0.0,0.3,1.2,1836898,8.0,7.2,8.4,9.5,9.9,7.8,8.7,8.9,7.0,7.6,7.6,9.4
006,puente inter. matamoros,matamoros-brownsville,mex-101-180,0.21,3186,0.2,99.5,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163050,7.9,7.6,8.5,8.7,8.7,8.2,8.3,8.5,8.3,8.4,8.0,8.9
007,puente papaloapan,tierra blanca-loma bonita,mex-145,3.5,2399,13.7,60.1,4.0,4.5,6.2,5.5,0.2,3.5,0.6,0.0,0.0,1.2,0.5,875810,8.4,7.6,9.2,8.5,10.5,7.8,8.1,8.0,7.6,7.5,7.4,9.4
008,puente caracol,tuxtepec-cosamaloapan,mex-175,117.2,6921,10.1,68.1,0.6,5.7,3.7,2.4,0.2,2.7,0.5,0.0,0.0,5.6,0.4,2525990,8.1,7.4,8.3,8.5,10.0,7.9,8.1,8.4,7.6,8.1,8.1,9.5
009,puente inter. camargo,camargo-río grande,mex-002,0.0,1132,0.1,86.8,0.9,0.2,0.2,0.3,0.0,5.3,0.0,0.0,0.0,6.2,0.0,413004,7.7,7.1,8.2,8.3,9.4,7.5,8.0,8.3,8.5,8.7,8.8,9.5
010,puente nautla,nautla-cardel,mex-180,0.7,3539,3.8,68.5,1.0,5.0,4.6,3.9,0.4,7.6,1.6,0.1,0.0,2.9,0.6,1291873,12.7,9.0,7.6,8.6,9.3,7.4,8.0,8.5,7.1,7.0,6.8,8.0
011,playas de tijuana,tijuana-rosarito,mex-001d,11.0,20987,1.1,96.6,0.4,0.4,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.4,7660216,6.2,5.5,7.8,7.8,9.3,9.2,9.8,9.2,9.1,9.1,8.6,8.4
012,rosarito,rosarito-la misión,mex-001d,35.427,14871,0.7,91.5,0.7,1.2,1.7,0.5,0.1,2.3,0.2,0.0,0.0,0.5,0.6,5427831,6.9,6.8,8.0,8.7,8.9,8.9,10.3,9.1,8.6,8.3,7.7,7.8
013,nodo popotla,la misión-corredor 2000,mex-001d,38.6,3205,0.2,61.7,0.8,0.2,4.3,2.2,0.5,22.6,1.3,0.1,0.1,5.7,0.3,1169663,6.8,6.5,7.9,9.0,8.8,9.0,10.4,9.9,9.0,8.2,7.3,7.2
014,ensenada,la misión-ensenada,mex-001d,98.599,16335,0.4,84.8,0.7,1.5,2.6,1.0,0.2,6.5,0.4,0.0,0.0,1.5,0.4,5962359,7.0,6.7,8.1,8.7,8.8,8.9,9.8,9.1,8.6,8.4,7.9,8.0
