index,tollbooth_name,way,highway,km,coords,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
001,puente sinaloa,guamúchil-guasave,mex-015,132.3,"25.512854,-108.347613",13355,0.5,60.5,1.0,4.4,3.8,3.1,0.8,16.5,1.7,0.3,0.0,4.6,2.8,4887815,9.2,8.1,9.1,8.6,8.6,8.1,8.8,8.5,6.5,6.8,8.1,9.6
002,puente pánuco,alazán-canoas,mex-127,172.1,"22.148796,-98.144935",5439,5.5,79.7,0.7,5.1,3.0,1.6,0.1,1.5,1.4,0.0,0.0,0.8,0.6,1990724,8.7,8.1,9.0,8.5,8.7,7.9,8.4,8.2,7.5,7.7,8.1,9.2
003,puente coatzacoalcos,coatzacoalcos-nuevo teapa,mex-180,2.0,"18.115163,-94.410828",11526,9.4,68.6,0.2,8.5,3.3,2.8,0.0,2.1,1.7,0.0,0.0,3.4,0.0,4218638,8.2,7.9,8.4,8.5,8.5,8.5,8.8,8.7,8.3,8.6,7.8,7.8
004,puente culiacán,culiacán-el limón,mex-015,22.0,"24.948949,-107.545695",8476,1.0,85.0,0.9,2.7,2.7,1.5,0.2,2.5,0.4,0.0,0.0,0.2,2.9,3102047,9.5,8.4,9.2,8.7,9.1,8.6,8.9,8.5,5.1,5.6,8.7,9.7
005,puente alvarado,paso del toro-san andrés tuxtla,mex-180,49.57,"18.769942,-95.744584",5358,7.4,77.0,0.6,5.3,3.0,2.7,0.1,1.7,0.7,0.0,0.0,0.3,1.2,1961075,8.5,7.8,9.1,8.5,8.6,7.8,8.4,8.8,7.9,7.5,7.6,9.5
006,puente inter. matamoros,matamoros-brownsville,mex-101-180,0.21,"25.896956,-97.498026",3064,0.4,99.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121379,8.1,8.4,8.7,9.2,8.7,8.3,8.2,8.4,6.9,8.7,7.9,8.5
007,puente papaloapan,tierra blanca-loma bonita,mex-145,3.5,"18.159601,-96.096694",3391,14.6,65.1,3.0,4.0,4.6,3.7,0.2,2.5,0.4,0.0,0.0,1.1,0.8,1241045,5.6,6.0,6.0,6.8,6.4,5.9,7.9,14.6,12.9,10.1,7.7,10.1
008,puente caracol,tuxtepec-cosamaloapan,mex-175,117.2,"18.133084,-96.136714",5864,11.8,65.2,0.9,6.3,3.5,2.6,0.2,2.8,0.6,0.0,0.0,5.5,0.6,2146120,10.1,8.8,9.9,9.4,10.0,9.3,8.8,4.8,4.9,6.8,8.3,8.9
009,puente inter. camargo,camargo-río grande,mex-002,0.0,"26.362407,-98.806294",1307,0.1,91.3,0.7,0.0,0.2,0.4,0.1,2.3,0.1,0.0,0.0,4.8,0.0,478205,7.9,8.2,8.9,8.5,8.6,7.6,7.9,8.1,8.2,8.3,8.4,9.4
010,puente nautla,nautla-cardel,mex-180,0.7,"20.210202,-96.778742",3124,5.7,73.7,1.1,3.4,4.7,2.7,0.4,5.7,1.0,0.0,0.0,1.0,0.6,1143375,8.2,8.0,9.5,8.8,8.7,8.0,8.4,9.2,7.9,7.3,7.6,8.4
011,playas de tijuana,tijuana-rosarito,mex-001d,11.0,"32.514051,-117.109566",20862,1.2,97.1,0.0,0.4,0.5,0.4,0.0,0.3,0.1,0.0,0.0,0.0,0.0,7635668,8.4,7.3,8.1,8.0,8.5,8.6,9.0,9.2,8.7,8.7,7.6,7.9
012,rosarito,rosarito-la misión,mex-001d,35.427,"32.311096,-117.044403",13790,0.7,92.5,0.0,1.4,1.7,0.4,0.1,2.6,0.1,0.0,0.0,0.5,0.0,5047219,7.3,6.7,8.2,7.8,8.5,8.9,10.1,9.9,8.8,8.3,7.7,7.8
013,nodo popotla,la misión-corredor 2000,mex-001d,38.6,"32.283815,-117.029678",3151,0.3,64.6,0.0,0.2,4.7,2.1,0.5,21.7,1.1,0.1,0.0,4.7,0.0,1153231,7.2,6.7,8.3,8.1,8.6,8.7,10.3,10.2,8.7,8.0,7.7,7.5
014,ensenada,la misión-ensenada,mex-001d,98.599,"31.903097,-116.732777",16063,0.5,84.9,0.0,2.6,2.6,0.9,0.2,6.6,0.3,0.0,0.0,1.4,0.0,5879118,7.4,6.7,8.1,7.9,8.4,8.6,9.9,9.7,8.6,8.3,8.1,8.3
015,puente inter. miguel alemán,cd. alemán-roma,mex-002,0.0,"26.402874,-99.020712",2034,0.0,93.7,0.5,0.1,0.2,0.2,0.1,5.2,0.0,0.0,0.0,0.0,0.0,744571,8.2,8.1,8.5,8.5,8.7,7.3,7.5,8.3,8.3,8.7,8.6,9.3
016,puente inter. reynosa,reynosa-hidalgo,mex-040,0.0,"26.093192,-98.270970",7186,0.2,99.1,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2629924,8.1,7.6,8.7,8.9,8.5,7.8,8.2,8.4,8.2,8.5,8.6,8.5
017,puente grijalva,villahermosa-aquiles serdán,mex-186,17.6,"17.947602,-92.785235",16817,4.4,75.7,0.7,2.9,3.3,2.1,0.3,4.5,2.0,0.1,0.0,3.2,0.8,6155130,8.6,8.0,8.5,8.5,8.6,8.0,8.6,8.7,7.9,7.9,7.9,8.8
018,puente usumacinta,ent. emiliano zapata-san marcos,mex-186,145.2,"17.859905,-91.783654",4975,7.9,53.3,1.1,3.7,3.7,4.3,0.6,11.4,3.7,0.4,0.1,9.3,0.5,1820690,9.1,8.2,8.8,8.4,8.3,7.5,8.3,8.4,7.5,8.0,8.2,9.3
019,puente cadereyta,monterrey-reynosa,mex-040,30.5,"25.601114,-100.005696",6247,2.5,75.7,0.4,0.5,6.3,3.2,0.4,4.9,1.4,0.1,0.2,2.3,2.1,2286328,8.2,7.8,8.4,8.1,8.5,7.9,8.4,8.5,8.2,8.4,8.2,9.4
020-01,amozoc,puebla-acatzingo,mex-150d,141.713,"19.049719,-98.032372",31577,0.6,66.8,0.0,4.5,4.9,5.2,0.5,9.7,1.7,0.2,0.1,5.8,0.0,11557105,8.3,7.6,8.6,8.2,8.3,7.9,8.7,8.9,8.0,8.4,8.0,9.1
020-02,amozoc,puebla-amozoc,mex-150d,141.713,"19.049435,-98.031922",7136,1.3,87.0,0.0,4.1,2.6,2.8,0.1,1.2,0.5,0.0,0.0,0.4,0.0,2611739,7.5,7.3,7.7,8.1,8.8,8.6,9.6,9.8,8.5,8.8,7.2,8.1
020-03,amozoc,puebla-ent. amozoc,mex-150d,137.0,"19.049717,-98.032374",11993,0.7,71.9,0.0,4.9,4.4,4.0,0.6,8.3,1.0,0.4,0.1,3.7,0.0,4389489,8.0,7.4,8.7,8.2,8.3,7.9,8.6,8.9,7.9,8.5,8.3,9.3
021-01,esperanza,acatzingo-cd. mendoza,mex-150d,217.5,"18.870672,-97.386004",12693,0.5,46.3,0.0,4.9,5.2,7.5,0.8,18.5,2.7,0.4,0.2,13.0,0.0,4645536,8.6,7.7,9.0,8.7,8.5,8.2,9.0,8.9,8.0,7.2,7.7,8.5
021-02,esperanza,acatzingo-esperanza,mex-150d,217.5,"18.870325,-97.386159",1492,0.6,80.7,0.0,1.4,6.7,5.3,0.3,2.7,0.9,0.0,0.0,1.4,0.0,546155,7.5,7.3,8.0,7.6,8.2,7.7,8.8,9.0,8.3,10.8,8.1,8.7
021-03,esperanza,esperanza-cd. mendoza,mex-150d,217.5,"18.870325,-97.386159",1728,0.9,55.1,0.0,1.8,5.6,10.1,1.2,17.1,4.1,0.1,0.1,3.9,0.0,632297,8.6,8.0,9.0,8.8,8.4,8.2,8.5,9.3,7.9,6.8,8.1,8.4
022,puente la piedad,irapuato-guadalajara,mex-090,89.1,"20.352798,-102.025149",3608,2.1,67.7,0.5,4.7,6.4,6.1,0.6,9.7,1.5,0.0,0.0,0.3,0.4,1320376,8.8,8.0,8.0,7.9,8.3,8.1,8.6,8.2,7.9,8.3,8.3,9.6
023,puente tecolutla,veracruz-poza rica,mex-180,52.8,"20.437751,-97.086545",4201,12.6,71.8,0.4,3.2,3.3,2.1,0.3,4.2,0.8,0.0,0.0,0.7,0.6,1537562,8.0,7.9,9.8,8.8,8.9,7.9,8.5,8.9,7.7,7.4,7.4,8.8
024,puente inter. las flores,nuevo progreso-progreso,mex-002,0.0,"26.060532,-97.950364",1686,0.1,90.0,0.3,0.0,0.2,2.7,0.0,1.9,0.9,0.1,0.0,3.8,0.0,617011,7.9,8.0,8.7,8.3,8.4,7.7,8.4,8.4,8.7,8.2,8.4,8.9
025,puente san juan,reynosa-nuevo laredo,mex-002,64.0,"26.561167,-99.200829",2194,0.2,64.7,1.6,1.4,4.3,2.6,0.4,6.5,1.1,0.1,0.2,12.8,4.1,803159,8.6,8.4,8.9,8.5,7.6,7.8,8.5,8.4,8.3,8.7,8.1,8.2
026,puente inter. ojinaga,ojinaga-presidio,mex-016,0.0,"29.560735,-104.397589",2033,0.1,95.0,2.1,0.2,1.1,0.2,0.2,1.1,0.0,0.0,0.0,0.0,0.0,743956,8.3,7.4,8.7,8.3,8.6,8.4,9.2,8.7,7.4,7.9,8.5,8.6
027,puente inter. paso del norte,cd. juárez-el paso,mex-045,0.0,"31.745900,-106.486424",5958,4.0,95.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2180560,8.2,8.1,8.8,8.8,9.0,8.6,8.8,8.6,8.6,7.8,8.0,6.7
028,compostela,chapalilla-compostela,mex-d,31.5,"21.229532,-104.887408",3958,2.3,71.9,0.5,5.2,3.6,3.2,0.3,3.2,1.3,0.0,0.0,0.5,8.0,1448687,13.2,11.4,14.0,7.2,6.3,6.1,6.6,6.5,6.2,6.3,7.5,8.7
029,puente inter. rodolfo robles,cd. hidalgo-tecún umán,mex,27.5,"14.702151,-92.151378",2049,90.7,9.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749964,7.8,7.6,7.9,7.8,8.2,7.7,8.4,8.3,8.0,8.8,9.2,10.3
