"stretch_id","tollbooth_id_in","tollbooth_id_out"
6,249,249
6,1538,1538
8,513,513
8,514,514
9,513,513
9,514,514
10,516,516
10,517,517
11,636,636
11,1426,1426
13,638,638
13,640,640
14,657,657
14,658,658
15,659,659
15,660,660
16,657,657
16,658,658
18,661,661
18,1412,1412
19,663,663
19,1411,1411
20,863,863
20,1388,1388
22,863,863
22,1388,1388
26,686,686
26,1416,1416
27,673,673
27,674,674
27,675,675
27,1417,1417
27,1418,1418
27,1419,1419
30,616,616
30,619,619
31,616,616
32,619,619
33,634,634
33,1314,1314
34,614,614
34,1315,1315
35,859,859
35,860,860
36,859,859
36,860,860
37,1393,860
37,1394,859
42,626,626
42,1316,1316
43,625,625
43,627,627
44,632,632
44,1317,1317
47,633,633
49,856,856
49,1390,1390
50,897,897
50,1391,1391
51,615,615
51,1321,1321
52,628,628
52,1322,1322
54,635,635
54,1425,1425
55,831,831
55,834,834
57,831,831
57,834,834
62,642,642
62,643,643
63,830,830
63,832,832
63,,
64,642,642
64,643,643
65,870,870
65,1378,1378
67,858,858
67,1382,1382
68,895,895
68,1384,1384
70,879,879
70,1376,1376
72,869,869
73,869,869
74,797,797
74,1335,1335
75,796,796
75,1336,1336
76,795,795
76,1337,1337
77,60,60
77,1333,1333
78,55,55
78,1334,1334
79,54,54
79,1328,1328
82,59,59
82,1332,1332
90,806,806
90,1343,1343
91,35,35
91,1344,1344
97,188,188
97,1542,1542
98,189,189
98,190,190
99,189,190
99,190,190
100,193,193
100,1541,1541
101,161,161
101,162,162
102,176,176
103,177,177
103,178,178
104,179,179
105,180,180
107,,
108,175,175
109,164,164
109,165,165
110,184,184
110,1556,1556
112,167,167
113,169,169
113,170,170
114,172,172
114,174,174
114,181,181
115,171,171
115,173,173
116,183,183
116,1548,1548
117,194,194
118,183,183
119,181,181
121,266,266
121,267,267
121,953,953
122,265,265
122,266,266
123,286,286
123,1545,1545
124,205,205
124,206,206
124,1580,1580
127,280,280
128,285,285
129,241,241
129,242,242
130,241,241
131,241,241
132,250,250
133,283,283
133,284,284
134,204,204
135,395,395
136,396,396
136,398,398
136,400,400
137,397,397
137,399,399
138,391,391
138,392,392
138,1362,1362
139,655,655
139,1400,1400
140,872,872
140,1373,1373
141,891,891
141,1372,1372
144,878,878
144,1369,1369
145,878,878
145,1369,1369
146,871,871
146,1371,1371
147,898,898
148,900,900
149,899,899
149,902,902
150,901,901
150,1374,1374
151,904,904
151,1377,1377
152,904,904
152,1377,1377
154,896,896
154,1375,1375
155,813,813
155,1192,1192
156,811,811
157,812,812
159,889,889
159,1368,1368
161,217,217
161,218,218
162,702,702
162,704,704
162,1573,1573
163,703,703
163,1440,1440
164,251,251
164,1442,1442
164,1566,1566
164,1567,1567
166,698,698
166,700,700
168,322,322
169,326,326
170,347,347
170,1568,1568
172,318,318
173,314,314
174,314,314
175,344,344
175,1562,1562
176,318,318
177,341,341
177,342,342
177,1563,1563
177,1564,1564
178,1565,1565
182,332,332
183,335,335
184,338,338
184,339,339
185,338,338
185,339,339
190,345,345
190,346,346
194,340,340
194,343,343
195,420,420
195,1570,1570
196,420,420
196,1570,1570
197,3,3
197,4,4
198,1,1
198,2,2
199,3,3
199,4,4
200,930,930
200,1200,1200
201,421,421
201,423,423
202,421,421
202,423,423
206,450,450
206,1569,1569
207,449,449
207,451,451
208,,
209,,
211,,
212,,
213,,
214,,
218,726,726
218,1233,1233
220,730,730
220,1235,1235
221,,
223,729,729
223,1099,1099
225,718,718
225,1231,1231
226,715,715
226,715,744
226,715,1232
227,712,718
227,716,716
227,1231,1231
228,711,711
228,1232,1232
229,718,718
229,1232,1232
230,717,717
231,,
232,,
233,,
234,714,714
235,714,714
235,715,714
235,715,715
236,,
237,,
238,719,719
238,1246,1246
242,49,49
242,938,938
242,1490,1490
242,1496,1496
242,1497,1497
244,1494,1494
245,1493,1493
245,1532,1532
246,48,48
246,1492,1492
247,238,238
247,1486,1486
247,1488,1488
248,219,219
248,1536,1536
249,220,220
249,1537,1537
250,299,299
250,1535,1535
251,279,279
251,1534,1534
252,157,157
252,1533,1533
253,260,260
253,261,261
254,260,260
254,261,261
255,262,262
255,264,264
256,301,301
256,516,516
256,517,517
257,300,300
257,304,304
258,303,303
259,221,221
259,223,223
260,224,224
260,1464,1464
261,222,222
261,223,223
261,939,939
261,940,940
261,1460,1460
261,1463,1463
262,129,129
262,293,293
262,1457,1457
262,1469,1469
263,1465,1465
264,1469,1469
264,,
265,128,128
265,1469,1469
266,240,240
266,1461,1461
266,1466,1466
266,1473,1473
267,305,305
267,1475,1475
268,136,136
268,200,200
269,1456,1456
269,1467,1467
271,135,135
271,1455,1455
277,492,492
277,1285,1285
278,492,492
280,492,492
281,479,479
281,480,480
284,479,479
284,480,480
285,438,438
285,1269,1269
286,,
287,,
288,457,1271
288,1270,1270
289,123,387
290,385,1453
291,457,1269
292,1270,1267
293,459,1271
294,,
295,,
297,,
298,502,502
298,1279,1279
299,487,487
299,1283,1283
301,330,330
301,1581,1581
302,330,330
302,1581,1581
303,490,490
303,1290,1290
305,471,471
305,1291,1291
306,472,472
306,1292,1292
307,1294,1294
308,470,470
308,1294,1294
309,497,497
309,1295,1295
310,501,501
310,1296,1296
311,1297,1297
312,500,500
312,1297,1297
313,498,499
313,499,499
313,1298,1298
313,1299,1299
314,498,1299
314,1298,1298
316,488,488
316,489,489
316,1300,1300
317,366,366
317,369,369
318,366,366
318,369,369
320,53,53
323,527,529
323,1352,526
325,527,1103
331,523,526
331,524,1103
331,527,1353
332,523,525
332,527,1353
333,524,529
333,1352,1354
335,527,529
335,1352,525
338,523,526
338,524,1103
338,527,1353
344,511,511
344,1359,1359
345,379,379
345,1306,1306
347,379,379
347,1306,1306
350,372,372
350,373,373
351,383,383
351,1312,1312
352,382,382
352,1313,1313
355,363,363
355,1304,1304
356,375,375
356,1301,1301
357,,
358,,
359,123,387
359,385,1453
360,,
361,,
362,,
363,459,459
363,1267,1267
364,,
373,,
374,,
377,447,447
377,1276,1276
383,550,550
383,1251,1251
386,544,544
386,1250,1250
388,547,547
389,540,540
389,1255,1255
390,535,535
390,536,536
391,535,535
391,536,536
392,,
393,539,539
393,1256,1256
394,554,554
394,555,555
394,556,556
397,541,541
397,1248,1248
398,542,542
398,1247,1247
399,533,533
399,1571,1571
400,534,534
400,1572,1572
402,756,756
403,774,774
403,1215,1215
404,775,775
404,1213,1213
411,773,773
411,1209,1209
414,778,778
414,1574,1574
415,778,778
415,778,780
415,779,779
415,779,1574
415,780,780
415,1574,1574
418,776,776
418,777,777
422,788,788
424,789,789
427,764,764
427,1216,1216
428,108,108
428,1217,1217
429,120,120
429,1218,1218
430,115,115
430,1219,1219
431,114,114
431,1220,1220
432,121,121
432,1221,1221
433,113,113
433,1222,1222
434,110,110
434,112,112
435,109,109
435,111,111
436,118,118
436,1223,1223
437,117,117
437,119,119
438,118,118
438,932,932
438,1223,1223
439,96,96
439,97,97
444,106,106
444,1224,1224
445,107,107
445,1225,1225
448,100,100
448,104,104
451,90,90
451,91,91
452,87,87
452,90,90
453,88,88
453,90,90
453,91,91
460,595,595
461,84,84
461,1170,1170
464,1578,1578
468,570,570
468,1561,1561
472,,
482,604,604
485,1173,1173
487,578,578
487,579,579
488,599,599
490,601,601
494,,
497,828,828
497,1187,1187
498,828,828
498,1187,1187
505,809,809
506,816,816
514,93,93
515,15,15
515,1108,1108
516,16,16
516,17,17
517,7,7
517,9,9
520,13,13
520,14,14
522,18,18
522,19,19
522,931,931
524,1454,683
525,1454,842
526,1454,390
527,1454,277
528,1454,287
528,1454,941
529,1454,394
530,1454,124
531,1454,131
532,1454,387
533,1454,404
533,1454,406
534,1454,411
535,1454,255
535,1454,258
536,1454,1443
537,1454,1453
538,123,683
540,123,390
554,216,390
567,230,134
568,230,1453
571,254,390
571,256,390
583,253,231
583,1451,231
586,412,390
595,414,231
601,403,390
601,405,390
608,401,231
608,402,231
617,384,390
622,385,231
633,126,390
636,127,231
648,393,231
652,393,390
662,291,231
662,292,231
671,288,390
671,942,390
677,275,231
687,276,390
692,388,231
692,837,231
707,841,231
707,844,231
722,682,231
739,130,390
743,130,231
751,,
752,20,20
752,,
755,13,13
755,14,14
756,144,274
759,1080,137
763,137,272
763,273,139
766,152,272
773,1114,1114
774,1113,1113
776,28,28
777,1115,1115
778,27,27
781,1114,1114
782,734,734
782,1243,1243
784,742,742
784,1244,1244
786,738,725
786,1245,739
787,736,736
787,737,737
787,738,740
787,1244,739
788,740,725
788,1245,741
790,671,671
791,665,665
793,667,667
794,668,668
795,667,667
796,665,665
798,668,668
800,693,693
801,692,694
801,1431,1431
805,693,693
805,308,694
805,694,694
809,308,1431
809,692,1431
810,1431,1431
813,692,693
815,1431,1431
816,696,694
817,1433,1433
819,308,1433
820,692,1433
821,1436,1433
824,308,697
825,697,697
829,308,691
833,691,691
839,295,43
843,,
844,147,239
845,,
846,,
847,201,201
847,,
848,1238,735
849,732,732
849,733,733
850,1237,1237
851,1238,747
854,1242,1242
855,1242,1242
856,1242,1239
857,733,733
858,735,735
859,709,709
859,,
860,747,747
861,1237,1237
862,735,735
863,1241,1241
863,,
864,1239,1239
865,1238,1238
865,1237,1237
866,1088,1088
866,1560,1560
867,746,1237
868,1240,735
869,746,746
870,1240,1240
871,911,911
872,908,908
873,910,910
874,908,908
875,912,912
876,908,908
877,909,909
878,919,919
879,917,917
880,915,913
881,918,914
881,918,921
882,915,913
883,917,917
884,921,921
885,915,921
886,920,917
887,915,921
888,920,913
889,918,921
890,920,914
894,208,132
896,194,132
899,195,132
904,194,196
906,208,196
918,195,196
919,195,196
923,194,227
926,195,227
926,195,228
927,44,270
927,47,270
928,211,270
929,142,270
930,208,270
931,153,270
932,232,270
933,244,270
934,234,270
935,133,270
936,226,270
936,229,270
941,208,237
941,208,236
942,194,236
942,194,1512
944,195,237
944,195,236
944,195,1512
948,133,237
948,133,236
948,133,1512
951,194,233
954,195,233
961,194,246
963,195,248
963,195,246
966,208,248
966,208,246
967,133,248
967,133,246
971,194,159
972,195,159
973,226,159
973,229,159
978,194,154
979,195,154
990,194,142
991,195,1105
995,232,1105
1001,194,208
1003,226,207
1003,229,207
1010,156,207
1012,194,211
1024,194,46
1036,546,557
1037,546,557
1038,546,538
1039,546,538
1040,546,543
1041,546,543
1042,546,543
1045,558,545
1046,558,545
1047,558,543
1048,558,538
1049,1258,557
1050,1258,538
1051,1258,545
1052,1258,545
1053,1258,545
1054,537,545
1055,537,545
1056,537,543
1057,537,557
1060,349,476
1061,353,476
1062,358,476
1064,353,324
1065,358,324
1066,477,348
1069,358,348
1070,477,351
1071,321,351
1071,325,351
1075,321,357
1075,325,357
1079,1012,1026
1079,1077,1026
1079,1078,1026
1080,1012,1027
1080,1077,1027
1080,1078,1027
1081,1012,1025
1081,1077,1025
1081,1078,1025
1082,1012,1044
1082,1077,1044
1082,1078,1044
1083,1012,1028
1084,1012,996
1084,1077,996
1084,1078,996
1085,1012,1046
1085,1077,1046
1085,1078,1046
1086,1012,1048
1086,1077,1048
1086,1078,1048
1087,1013,1026
1087,1076,1026
1088,1013,1027
1088,1076,1027
1089,1013,1025
1089,1076,1025
1090,1013,1044
1090,1076,1044
1091,1013,1028
1092,1013,996
1092,1076,996
1093,1013,1046
1093,1076,1046
1094,1013,1048
1094,1076,1048
1095,1024,1026
1096,1024,1027
1097,1024,1025
1098,1024,1044
1099,1024,1028
1100,1024,1046
1101,1024,1048
1102,1014,1025
1102,1075,1025
1103,1014,1044
1103,1075,1044
1104,1014,1028
1105,1014,1046
1105,1075,1046
1106,1014,1048
1106,1075,1048
1107,1017,1029
1108,1017,1051
1109,1017,1030
1110,1017,1031
1111,1015,1029
1111,1073,1029
1112,1015,1051
1112,1073,1051
1113,1015,1030
1113,1073,1030
1114,1015,1031
1114,1073,1031
1115,1045,1029
1116,1045,1051
1117,1045,1030
1117,1072,1030
1118,1045,1031
1118,1072,1031
