"tollbooth_id","legacy_id","tollbooth_name","lat","lng","status","state","place","lines","type","manage","gate_to","anti_evation_sys","in_out"
1,583,"chichimeco",22.0007122283422,-102.360061260952,"open","aguascalientes","entronque",2,"toll","ops",,0,"in"
2,583,"chichimeco",22.0009752578311,-102.359613331946,"open","aguascalientes","entronque",2,"toll","ops",,0,"out"
3,583,"chichimeco",22.0058361640548,-102.357811331749,"open","aguascalientes","troncal",3,"toll","ops",,0,"in"
4,583,"chichimeco",22.005801348871,-102.35764503479,"open","aguascalientes","troncal",3,"toll","ops",,0,"out"
5,417,"dart",32.5429996072746,-116.758259166338,"open","baja california","entronque",1,"toll","tijuana-tecate",,,
6,83,"el hongo",32.5218605731769,-116.320015746189,"open","baja california","troncal",4,"toll","capufe",,,
7,83,"el hongo",32.5211803860237,-116.32013900624,"open","baja california","entronque",1,"toll","capufe",,,
8,83,"el hongo",32.5224894394194,-116.319800638368,"open","baja california","entronque",1,"toll","capufe",,,
9,83,"el hongo",32.5211201594933,-116.320151180292,"open","baja california","entronque",1,"toll","capufe",,,
10,36,"ensenada",31.9031695436624,-116.732735320008,"open","baja california","troncal",5,"toll","capufe",,,
11,1039,"la rumorosa (centinela)",32.5626757308679,-116.047935813143,"open","baja california","troncal",5,"toll","gob-bajacalifornia",,,
12,1039,"la rumorosa (centinela)",32.5558470366852,-116.036491976593,"open","baja california","troncal",5,"toll","gob-bajacalifornia",,,
13,422,"las esperanzas",32.550756,-116.621901,"open","baja california","entronque",1,"toll","tijuana-tecate",,,
14,422,"las esperanzas",32.5516625374669,-116.62114602837,"open","baja california","entronque",2,"toll","tijuana-tecate",,,
15,419,"libramiento de mexicalli",32.5335493209816,-115.420753955841,"open","baja california","troncal",2,"toll","omega",,,
16,419,"libramiento de mexicalli",32.5328277280155,-115.409823102157,"open","baja california","entronque",1,"toll","omega",,,
17,419,"libramiento de mexicalli",32.5336157925707,-115.408764213555,"open","baja california","entronque",1,"toll","omega",,,
18,189,"nodo popotla",32.2838396578447,-117.029616942825,"open","baja california","entronque",3,"toll","capufe",,,
19,189,"nodo popotla",32.2837885569719,-117.030571314363,"open","baja california","entronque",2,"toll","capufe",,,
20,418,"paso del aguila",32.527353,-116.692395,"open","baja california","entronque",1,"toll","tijuana-tecate",,,
21,467,"paso del aguila bis",32.5258551031647,-116.690267818002,"open","baja california","entronque",2,"toll","tijuana-tecate",,,
22,34,"playas de tijuana",32.5141316332033,-117.109403014183,"open","baja california","troncal",5,"toll","capufe",,,
23,35,"rosarito",32.3111376457709,-117.04436480999,"open","baja california","troncal",5,"toll","capufe",,,
24,415,"tijuana",32.5456374593879,-116.852130889893,"open","baja california","troncal",5,"toll","tijuana-tecate",,,
25,,"tijuana",32.5255634784838,-116.693123111925,"open","baja california","entronque",1,"etc","tijuana-tecate",,,
26,,"tijuana",32.5268456453733,-116.693168385721,"open","baja california","entronque",1,"etc","tijuana-tecate",,,
27,330,"aeropuerto de los cabos",23.150499203638,-109.740506657032,"open","baja california sur","troncal",4,"toll","capufe",,,
28,332,"el mangle",22.9538983042021,-109.97385263443,"open","baja california sur","troncal",2,"toll","capufe",,,
29,86,"san jose del cabo",23.0499537520382,-109.719566808932,"open","baja california sur","troncal",3,"toll","capufe",,,
30,332,"san lucas",22.9243213417246,-109.91724729538,"open","baja california sur","troncal",2,"toll","capufe",,,
31,132,"la seyba",19.6368985985577,-90.6723546981812,"open","campeche","entronque",1,"toll","capufe",,,
32,132,"la seyba",19.6375250986622,-90.6728965044022,"open","campeche","entronque",1,"toll","capufe",,,
33,132,"la seyba",19.636312515602,-90.6716305017471,"open","campeche","troncal",3,"toll","capufe",,,
34,1030,"puente la unidad",18.7855271553491,-91.4948687798235,"open","campeche","troncal",1,"toll","gob-campeche","bridge",,
35,164,"zacatal",18.6128546972409,-91.8608288100684,"open","campeche","troncal",2,"toll","capufe","bridge",,
36,1057,"ceda",19.3673844285109,-99.0952241941893,"open","cdmx","troncal",3,"toll","ficeda",,,
37,1057,"ceda",19.3684588021814,-99.0853570718427,"open","cdmx","troncal",3,"toll","ficeda",,,
38,1057,"ceda",19.3782445141604,-99.0867622948792,"open","cdmx","troncal",10,"toll","ficeda",,,
39,1057,"ceda",19.3746574554429,-99.0972901993134,"open","cdmx","troncal",9,"toll","ficeda",,,
40,1057,"ceda",19.3681072375024,-99.0977434654868,"open","cdmx","troncal",3,"toll","ficeda",,,
41,1045,"cien metros r1",19.5155087319548,-99.1529543236422,"open","cdmx","entronque",1,"ticket","anesa",,,
42,1045,"cien metros r2",19.5137035299135,-99.1588371992111,"open","cdmx","entronque",1,"ticket","anesa",,,
43,1045,"cien metros r3",19.5141451303256,-99.1567611603932,"open","cdmx","entronque",2,"toll","anesa",,,
44,410,"la venta",19.352279438016,-99.3057018634177,"open","cdmx","entronque",2,"ticket","chamapa-laventa",,,
45,410,"Contadero",19.3358071550412,-99.3110191569385,"open","cdmx","entronque",1,"toll","chamapa-laventa",,,
46,410,"la venta",19.3489973934565,-99.3067763487482,"open","cdmx","troncal",7,"toll","chamapa-laventa",,,
47,410,"la venta",19.348949338795,-99.3065143426424,"open","cdmx","troncal",3,"ticket","chamapa-laventa",,,
48,908,"La Venta ",19.3317675798998,-99.315122002156,"open","cdmx","troncal",2,"toll","pinfra",,,
49,908,"marquesa",19.3327136613537,-99.3141156435013,"open","cdmx","troncal",4,"toll","pinfra",,,
50,909,"santa fe",19.3597587148297,-99.272667958659,"open","cdmx","entronque",3,"toll","pinfra",,,
51,909,"santa fe",19.3634139042647,-99.2673382308222,"open","cdmx","entronque",3,"toll","pinfra",,,
52,909,"santa fe",19.3591589545372,-99.2736038022331,"open","cdmx","troncal",2,"toll","pinfra",,,
53,1,"tlalpan",19.2425459721055,-99.1485911607743,"open","cdmx","troncal",10,"toll","capufe",,,
54,930,"arriaga viapass",16.2572922499705,-93.8755647402215,"open","chiapas","troncal",2,"toll","cas",,,
