stretch_id,tollbooth_id_in,tollbooth_id_out,distance
37,1394,859,8.3333
37,1393,860,4.2639
99,189,190,10.237200000000001
226,715,744,21.7732
226,715,1232,9.081299999999999
227,712,718,2.5237
227,712,744,15.4602
227,712,1232,2.7684
228,1232,744,12.7162
229,1232,715,8.9414
229,1232,716,3.8268
230,713,714,6.2478
230,713,715,6.2482
235,715,714,0.011699999999999999
280,1052,492,59.293699999999994
281,1279,479,30.2264
281,479,502,35.599599999999995
282,1282,479,12.2096
284,480,479,13.9049
288,457,1271,19.8725
289,123,387,74.62360000000001
290,385,1453,75.3539
291,457,1269,19.7927
292,1270,1267,48.2057
293,459,1271,49.4079
313,498,499,0.4576
314,498,1299,0.7754
323,1352,526,18.2186
323,527,529,18.522
324,1352,525,18.553900000000002
324,527,529,18.522
325,527,1103,17.8377
326,524,529,13.296
326,1352,1354,13.289399999999999
327,527,1103,17.8377
328,524,1103,12.6117
330,1104,1354,12.8621
331,523,526,5.584899999999999
331,524,1103,12.6117
331,527,1353,5.4503
332,523,525,5.920100000000001
332,527,1353,5.4503
333,524,529,13.296
333,1352,1354,13.289399999999999
334,1352,526,18.2186
335,1352,525,18.553900000000002
335,527,529,18.522
336,1104,526,17.7913
337,1104,525,18.1266
338,523,526,5.584899999999999
338,524,1103,12.6117
338,527,1353,5.4503
339,527,1353,5.4503
359,123,387,74.62360000000001
359,385,1453,75.3539
415,778,780,0.7391
415,779,1574,0.2884
482,1173,1171,20.188599999999997
524,1454,683,209.53379999999999
525,1454,842,184.2599
526,1454,390,169.56529999999998
527,1454,277,151.72279999999998
528,1454,941,140.4493
528,1454,287,140.1984
529,1454,394,117.0725
530,1454,124,97.6038
531,1454,131,87.628
532,1454,387,76.07239999999999
533,1454,404,67.8096
533,1454,406,68.3398
534,1454,411,58.7309
535,1454,255,43.069199999999995
535,1454,258,42.6417
536,1454,1443,37.4916
537,1454,1453,1.7590999999999999
538,123,683,208.0851
539,123,842,182.8111
540,123,390,168.1166
541,123,277,150.2741
542,123,941,139.00060000000002
542,123,287,138.74960000000002
543,123,394,115.6238
544,123,124,96.1551
545,123,131,86.1792
546,123,387,74.62360000000001
547,123,404,66.3609
547,123,406,66.89110000000001
548,123,411,57.2821
549,123,255,41.620400000000004
549,123,258,41.193
550,123,1443,36.0428
551,123,134,1.9353
552,216,683,172.1804
553,216,842,146.9065
554,216,390,132.21189999999999
555,216,277,114.3694
556,216,941,103.0959
556,216,287,102.845
557,216,394,79.71910000000001
558,216,124,60.2504
559,216,131,50.2746
560,216,387,38.719
561,216,134,37.630300000000005
562,216,404,30.4562
562,216,406,30.9864
563,216,1453,36.8465
564,216,411,21.3775
565,216,255,5.7158
565,216,258,5.2883000000000004
567,230,134,38.4372
568,230,1453,37.653400000000005
569,254,683,167.0394
569,256,683,166.587
569,682,259,166.6877
570,254,842,141.7654
570,256,842,141.313
570,841,259,141.4708
570,844,259,140.89270000000002
571,254,390,127.0709
571,256,390,126.6185
571,388,259,126.5938
571,837,259,126.8918
572,275,259,108.8908
572,254,277,109.2284
572,256,277,108.776
573,254,941,97.9549
573,256,941,97.5025
573,291,259,97.347
573,292,259,97.59089999999999
573,254,287,97.70389999999999
573,256,287,97.2515
574,254,394,74.5781
574,256,394,74.1257
574,393,259,75.0748
575,254,124,55.1094
575,256,124,54.657
575,127,259,54.709
576,253,134,42.647400000000005
576,259,134,47.180800000000005
577,254,131,45.1335
577,256,131,44.6811
577,130,259,46.0162
578,253,1453,41.8636
578,259,1453,46.397
579,254,387,33.5779
579,256,387,33.1255
579,385,259,33.2475
580,254,404,25.3152
580,256,404,24.8628
580,254,406,25.8454
580,256,406,25.393
580,401,259,25.529700000000002
580,402,259,25.229400000000002
581,254,411,16.2364
581,256,411,15.784
581,410,259,15.819
582,253,1443,6.2351
582,259,1443,13.7636
583,253,231,4.176399999999999
583,1451,231,4.6929
584,412,683,150.8199
585,412,842,125.546
586,412,390,110.8514
587,412,277,93.0089
588,412,941,81.7354
588,412,287,81.4845
589,410,134,58.7091
590,410,1453,57.9253
590,412,1453,77.849
591,412,394,58.358599999999996
592,412,124,38.889900000000004
593,410,131,62.017
593,412,131,28.914099999999998
594,410,1443,22.296799999999998
595,410,231,20.2381
596,412,387,17.3585
597,410,1452,15.6688
597,410,257,16.1978
598,412,404,9.0957
598,412,406,9.6259
599,403,683,141.4348
599,405,683,141.7699
600,403,842,116.16080000000001
600,405,842,116.496
601,403,390,101.4663
601,405,390,101.8014
602,401,134,68.4199
602,402,134,68.1196
603,403,277,83.6238
603,405,277,83.9589
604,401,1453,67.6361
604,402,1453,67.3358
605,292,407,72.1353
605,291,408,72.44839999999999
605,403,941,72.3503
605,405,941,72.68539999999999
605,403,287,72.0993
605,405,287,72.4345
606,403,394,48.9735
606,405,394,49.3086
607,401,1443,32.0076
607,402,1443,31.7073
608,401,231,29.948900000000002
608,402,231,29.6486
609,401,1452,25.3795
609,402,1452,25.0792
609,401,257,25.9086
609,402,257,25.6082
610,403,124,29.5048
610,405,124,29.8399
611,401,131,21.0373
611,402,131,40.764900000000004
611,403,131,19.5289
611,405,131,19.864099999999997
612,401,409,9.7884
612,402,409,9.488100000000001
613,403,387,7.9733
613,405,387,8.3085
614,682,386,133.7842
614,384,683,133.70270000000002
615,384,842,108.42880000000001
616,385,134,76.1377
617,384,390,93.7342
618,385,1453,75.3539
619,384,277,75.8917
620,384,941,64.6182
620,384,287,64.3673
621,385,1443,39.7254
622,385,231,37.666599999999995
623,385,1452,33.097300000000004
623,385,257,33.6263
624,384,394,41.2414
625,385,409,17.5062
626,384,124,21.7727
627,384,131,11.796899999999999
627,385,131,28.7551
628,385,407,7.7919
628,385,408,8.3489
629,126,683,111.6513
630,127,134,97.5991
631,126,842,86.3774
632,127,1453,96.81530000000001
633,126,390,71.6828
634,126,277,53.8404
635,127,1443,61.186800000000005
636,127,231,59.128099999999996
637,127,1452,54.558800000000005
637,127,257,55.0878
638,126,941,42.5668
