"road_id","road_name","operation_date","start_contract_date","end_contract_date","project_mx_id","fonadin_ref","road_length_km","bond_code","bond_issuance_date","bond_terms_years","bond_amount","notes","farac"
5,"acatzingo-cd. mendoza","29-03-1969","30-09-2011","30-09-2071",319,,95.6,,,,,,
11,"Amozoc-perote","02-07-2004","24-11-2003","23-11-2063",95,,104.9,"GANACB 11U ",2011-04-01,20,,,
68,"armería-manzanillo","11-08-1991","09-11-1990","08-11-2050",90,,37,"ARMEC03U",2003-05-30,12,1935000000,,
17,"arriaga-ocozocoautla","17-12-2009","31-10-2007","30-10-2057",102,"https://www.fonadin.gob.mx/fni2/fp43/",93,"CASCB 11U,CASCB 22U","2011-10-01,2022-11-15","26,29",",530000000",,
50,"atlacomulco-maravatío","01-10-1989","20-10-1987","20-07-2042",138,,88.5,,,,,,
126,"autopista siervo de la nacion","06-10-2021","27-09-2013","27-09-2073",816,,18.5,,,,,"autopista Rio de los Remedios-Venta de Carpio, Gran Canal",
124,"autopista urbana norte","04-12-2012",,,,,,,,,,,
118,"autopista urbana sur","27-10-2016",,,,,,,,,,,
28,"ávila camacho-tihuatlán","27-11-2012","19-07-2007","18-07-2067",80,,48.136,"AUNETCB 22U,AUNETCB 24U, AUNETCB 24-2U","2022-08-12,2024-02-26,2024-12-10","12,24,32","8000000000,1400000000,12900000000",,
94,"cadereyta-reynosa","05-04-1993","27-05-2020","21-07-2030",885,,132.015,,,,,,"rescate"
130,"camargo-delicias","13-05-1989","27-10-1988","29-08-2049",117,,67,"CHIHCB 13U",2013-08-01,25,,,
13,"cardel-veracruz","03-10-1995","06-10-1993","05-10-2053",84,,29,,,,,,
40,"cd. cuahutémoc-osiris","23-12-2002","18-03-2003","18-09-2024",503,,41.21,,,,,,
159,"cd. mendoza-córdoba","29-12-1969","30-09-2011","30-09-2071",326,,39.3,,,,,,
160,"cedral-playa del carmen","14-09-2014","05-12-1990","04-12-2050",96,,44,,,,,,
115,"chamapa-lechería","01-10-1992","30-09-2011","30-09-2071",327,,36.1,,,,,,"rescate"
23,"champoton-campeche","13-01-1993","30-09-2011","30-09-2071",323,,39.5,,,,,,"rescate"
72,"chapalilla-compostela","17-08-1973","18-03-2003","18-09-2024",502,,35.5,,,,,,
6,"cordoba-veracruz","11-06-1992","30-09-2011","30-09-2071",328,,98,,,,,,"rescate"
7,"cuacnopalan-oaxaca","29-11-1991","30-09-2011","30-09-2071",329,,243,,,,,,
60,"cuernavaca-acapulco","22-10-1991","30-09-2011","30-09-2071",330,,262.58,,,,,,"rescate"
80,"durango-mazatlán","17-10-2013","30-09-2011","30-09-2071",331,,230,,,,,,
81,"durango-yerbanis","23-09-1993","24-04-1992","23-04-2052",97,,105.3,,,,,,
161,"ecatepec-peñón","18-09-2015","25-01-1991","25-01-2051",88,,17,,,,,,
25,"ecatepec-pirámides","21-12-1991","25-01-1991","25-01-2051",88,,22.2,"ARMEC03U",2003-05-30,12,1935000000,,
163,"el centinela-la rumorosa","12-05-1996","18-08-2023","18-08-2053",968,,49.197,,,,,,
129,"chihuahua-ciudad juárez","30-12-1989","29-08-1989","29-08-2049",132,,236,,,,,,
110,"ensenada-tijuana","25-04-1967","30-09-2011","30-09-2071",363,,89.54,,,,,,
18,"ent. agua dulce-cardenas","31-08-1998","30-09-2011","30-09-2071",325,,54.11,,,,,,"rescate"
27,"Mexico-tuxpan","16-07-2001","19-01-2018","31-12-2030",633,,,,,,,,
79,"estacion don-nogales","01-06-1989","30-09-2011","30-09-2071",332,,459,,,,,,"rescate"
85,"goméz palacio-corralitos","08-11-1994","30-09-2011","30-09-2071",366,,150.59,,,,,,"rescate"
67,"guadalajara-colima","09-01-1989","20-10-1987","19-10-2047",115,,148,,,,,,
69,"guadalajara-tepic","25-02-1994","30-11-2011","29-11-2071",131,,168.616,,,,,,"rescate"
65,"guadalajara-zapotlanejo","01-08-1994","03-10-2007","02-04-2048",98,,26,"RCO 12,RCO 18U, RCO 19","2012-09-01,2018-12-18,2019-01-01","15,22,19",,,"rescate"
30,"gutiérrez zamora-tihuatlán","22-09-2001","30-09-2011","30-09-2071",333,,37.29,,,,,,"concesion"
131,"jiménez-camargo","15-05-1990","29-08-1989","29-08-2049",132,,70,"CHIHCB 13 ","2013-09-01",15,,,
49,"la marquesa-lerma de villada","21-07-2016","23-07-2013","31-07-2049",89,,15.5,,,,,,
59,"la pera-cuautla","11-08-1994","30-09-2011","30-09-2071",335,,34.17,,,,,,
8,"la tinaja-cosoleacaque","20-10-1993","30-09-2011","30-09-2071",336,,228,,,,,,"rescate"
42,"lagos de moreno villa de arriaga-san luis potosí","25-07-2012","06-07-2012","30-09-2071",337,,66.048,,,,,,
15,"las chopas-ocozocuautla","06-09-2002","30-09-2011","30-09-2071",338,,197.5,,,,,,
116,"las varas-vallarta","28-12-2024","23-06-2016","22-06-2076",693,,90,,,,,,
39,"león-aguascalientes","30-09-1992","03-10-2007","02-04-2048",98,,103.8,"RCO 12U,RCO 18U, RCO 19","2012-09-01,2018-12-18,2019-01-01","20,22,19",,,"rescate"
37,"libramiento de irapuato","31-08-2009","30-01-2008","29-01-2068",94,,29.2,,,,,,
2,"libramiento amecameca-nepantla","19-03-2014","25-06-2013","30-09-2071",339,,26.81,,,,,,
47,"libramiento cd. Valles-tamuín","07-07-2016","30-09-2011","30-09-2071",340,,49.5,,,,,,
164,"libramiento de chilpancingo","22-08-2012",,,,,,,,,,,
76,"libramiento de culiacan","13-08-2012","30-11-2009","30-11-2069",134,,22,,,,,,
165,"libramiento de fresnillo","08-03-1993","13-03-1992","12-03-2052",113,,32.7,,,,,,
53,"libramiento de la piedad","29-11-2012","20-01-2009","20-01-2054",100,,21.388,"LPSLCB 14-2U",2014-07-24,22,1800000000,,"concesion"
90,"libramiento de matehuala","13-11-2004","09-05-2003","08-05-2033",137,,22.6,,,,,,
74,"libramiento de mazatlán","18-12-2014","30-11-2009","30-11-2069",134,,38,,,,,,
108,"libramiento de mexicalli","20-06-2006","15-11-2004","14-11-2064",127,"https://www.fonadin.gob.mx/fni2/fp92/",41,,,,,,"concesion"
54,"libramiento de morelia","01-02-2016","30-03-2012","29-03-2072",130,"https://www.fonadin.gob.mx/fni2/fp56/",64.1,,,,,,
132,"libramiento de nogales","23-02-1999","20-04-1998","19-04-2058",105,,12.14,,,,,,
64,"libramiento de tecpan","19-03-2008","24-05-2006","23-05-2066",136,,4.369,,,,,,
70,"libramiento de tepic","22-03-2016","30-11-2011","29-11-2071",131,"https://www.fonadin.gob.mx/fni2/fp63/",30,,,,,,
19,"libramiento de villahermosa","25-11-2016","30-09-2011","30-09-2071",348,,30.6,,,,,,
166,"libramiento de víctor rosales","08-10-1991",,,,,,,,,,,
168,"libramiento felipe carrillo puerto","23-07-2016","25-06-2013","30-09-2071",342,,14.14,,,,,,
46,"libramiento noreste de querétaro","13-03-1992","30-09-2011","30-09-2071",343,,37.5,,,,,,"rescate"
169,"libramiento norte de la ciudad de méxico","24-03-2006","21-12-2005","20-12-2065",104,,223,"ARCONCB 15 ","2015-06-01",20,,,"concesion"
83,"libramiento norte de la laguna","19-10-2014","24-04-1992","23-04-2052",97,,40.7,,,,,,
43,"libramiento norte de san luis potosi","16-05-2014",,,,,,,,,,,
86,"libramiento oriente de chihuahua","16-04-2015","24-08-2012","30-09-2071",344,,42.3,,,,,,
88,"libramiento oriente de saltillo","05-12-1992","30-09-2011","30-09-2071",367,,56.1,"CAMSSCB 13U ","2013-10-01",26,,,"rescate"
45,"libramiento oriente de san luis potosi","23-08-1991","15-10-1990","14-10-2050",87,,176.9,,,,,,
44,"libramiento poniente de san luis potosi","23-01-2017","30-11-2007","14-10-2050",87,,33.7,,,,,,
32,"libramiento poniente de tampico","03-08-1991","30-09-2011","30-09-2071",346,,14.48,,,,,,"rescate"
66,"libramiento sur de guadalajara","28-07-2016","30-11-2011","29-11-2071",131,"https://www.fonadin.gob.mx/fni2/fp63/",111,,,,,,
95,"libramiento sur ii de reynosa","15-11-2012","27-05-2020","21-07-2030",885,,43.54,,,,,,"concesion"
51,"maravatío-zapotlanejo","21-10-1993","03-10-2007","02-04-2048",98,,309.7,"RCO 14,RCO 18U, RCO 19","2014-12-0,2018-12-18,2019-01-01","16,22,19",,,"rescate"
75,"mazatlán-culiacán","26-10-1992","30-11-2009","30-11-2069",134,,181.5,,,,,,"rescate"
114,"mérida-cancún","22-12-1991","05-12-1990","04-12-2050",96,,250,"MAYACB 12, MAYACB 12U ","2012-10-01","22,22",,,
58,"méxico-cuernavaca","11-08-1994","30-09-2011","30-09-2071",351,,61.54,,,,,,
48,"méxico-la marquesa","19-10-1990",,,,,,,,,,,
24,"mexico-pachuca","23-02-1994",,,,,,,,,,,
1,"mexico-puebla","05-05-1962","30-09-2011","30-09-2071",349,,97.06,"MXPUCB 18,MXPUCB 18U",2018-03-26,20,2300000000,,
35,"méxico-querétaro","01-10-1958","30-09-2011","30-09-2071",350,,174.47,,,,,,
9,"mitla-tehuantepec","24-01-2025","27-05-2010","26-05-2050",83,,169.232,,,,,,
93,"monterrey-nuevo laredo","31-07-1991","27-05-2020","21-07-2030",885,,123.1,,,,,,"rescate"
87,"monterrey-saltillo","01-10-2009","17-11-2006","17-11-2066",85,"https://www.fonadin.gob.mx/fni2/fp50/",49.8,"CAMSCB 13U,CAMSCB 19U","2013-02-01,2019-12-05","24,30","4200000000,3500000000",,"concesion"
117,"morelia-salamanca","09-12-2006","14-07-2005","13-07-2035",135,,83,,,,,,"concesion"
57,"nueva italia-lázaro cárdenas","17-10-2001","30-03-2012","29-03-2072",130,"https://www.fonadin.gob.mx/fni2/fp56/",156.3,,,,,,
172,"palmillas-apaseo el grande","19-05-2017","28-02-2013","27-02-2043",141,"https://www.fonadin.gob.mx/fni2/fp53/",86,,,,,,
55,"pátzcuaro-uruapan","18-09-1998","30-03-2012","29-03-2072",130,"https://www.fonadin.gob.mx/fni2/fp56/",57,,,,,,
26,"peñón-texcoco","19-03-1994","26-03-1993","26-03-2053",116,,15.6,"CPACCB 04",2004-12-01,17,1409700000,,
12,"Perote-banderilla","01-11-2012","14-02-2008","13-02-2053",101,,29.2,"CPEXACB 16U,CPXACB 24U","2016-01-27,2024-07-24","23,30","271800000 udis,577800000",,
4,"puebla-acatzingo","29-03-1969","30-09-2011","30-09-2071",354,,37.1,,,,,,
135,"puente alvarado","13-11-1964","18-03-2003","18-09-2024",504,,1.504,,,,,,
136,"puente anzaldúas","15-12-2009","27-07-2007","26-07-2037",124,,2.558,,,,,,
91,"puente cadereyta","25-10-1968","18-03-2003","18-09-2024",505,,2.5,,,,,,
102,"puente camargo","12-08-1966","18-03-2003","18-09-2024",501,,0.544,,,,,,
137,"puente caracol","15-05-1966","18-03-2003","18-09-2024",500,,0.365,,,,,,
92,"puente cd. acuña","25-03-1979","18-03-2003","18-09-2024",529,,0.22,,,,,,
134,"puente solidaridad (colombia)","31-07-1991","15-09-2023","15-09-2053",959,,0.16,,,,,,
138,"puente coatzacoalcos","18-03-1962","01-12-2024","01-12-2034",120,,1.679,,,,,,
77,"puente culiacán","21-09-1992","18-03-2003","18-09-2024",514,,0.433,,,,,,
63,"puente de ixtla-iguala","11-08-1994","30-09-2011","30-09-2071",355,,63.57,,,,,,
139,"puente dovalí jaime","31-08-1984","18-03-2003","18-09-2024",507,,34,,,,,,
140,"puente dr. ignacio chávez","20-01-2000",,,,,,,,,,,
22,"puente el zacatal","24-11-1994","30-09-2011","30-09-2071",356,,3.86,,,,,,"rescate"
20,"puente grijalva","20-12-1967","18-03-2003","18-09-2024",513,,0.254,,,,,,
142,"puente int. guadalupe tornillo","05-02-2016","30-12-2015","29-12-2045",109,,,,,,,,
143,"puente int. lerdo-stanton","01-08-2012","30-12-2015","29-12-2045",109,,,,,,,,
144,"puente josé lópez portillo","29-01-2010","29-02-2008","29-02-2028",121,,0.391,,,,,,
99,"puente juárez-lincoln (laredo II)","11-10-1979","18-03-2003","18-09-2024",520,,0.39,,,,,,
52,"puente la piedad","17-04-1969","18-03-2003","18-09-2024",521,,0.14,,,,,,
145,"puente la unidad-eugenio echeverria castellot","12-11-1982","15-03-2005","14-03-2025",122,,3.22,,,,,,
146,"puente córdova-de las americas","11-10-1979","02-09-1993","01-09-2053",128,,0.1,,,,,,
103,"puente las flores","16-03-1971","18-03-2003","18-09-2024",524,,1.78,,,,,,
147,"puente libre comercio","01-12-1992",,,,,,,,,,,
97,"puente los tomates","30-04-1999","30-09-2011","30-09-2071",353,,0.81,,,,,,
105,"puente matamoros","16-06-1964","18-03-2003","18-09-2024",528,,0.415,,,,,,
100,"puente miguel alemán","01-06-1967","18-03-2003","18-09-2024",525,,0.5,,,,,,
14,"puente nautla","01-04-1967","18-03-2003","18-09-2024",518,,0.625,,,,,,
148,"puente nuevo laredo iii","24-04-2000","30-07-1996","29-07-2026",108,,0.2975,,,,,,
104,"puente ojinaga","12-03-1973","18-03-2003","18-09-2024",522,,0.276,,,,,,
149,"puente papaloapan","15-05-1966","18-03-2003","18-09-2024",516,,1.571,,,,,,
150,"puente paso del norte","14-08-1973","30-12-2015","29-12-2045",109,,,,,,,,
34,"puente pánuco","23-09-1961","18-03-2003","18-09-2024",517,,11.318,,,,,,
106,"puente piedras negras","13-11-1975","18-03-2003","18-09-2024",506,,0.224,,,,,,
107,"puente piedras negras ii","24-09-1999","09-08-1991","08-08-2026",126,,26,,,,,,
151,"puente refinería lázaro cárdenas","01-03-2012",,,,,,,,,,,
96,"puente reynosa","01-06-1967","18-03-2003","18-09-2024",527,,0.329,,,,,,"rescate"
152,"puente reynosa-pharr","10-01-1995","27-05-2020","21-07-2030",885,,5.129,,,,,,
153,"puente río bravo-donna","14-12-2010","14-03-2008 ","13-03-2068",107,,0.1674,,,,,,
154,"puente rodolfo robles","31-05-1975","18-03-2003","18-09-2024",519,,0.41,,,,,,
101,"puente san juan","04-07-1972","18-03-2003","18-09-2024",526,,1.503,,,,,,
133,"puente colorado","30-08-1993","20-09-2006","19-09-2026",125,,0.304,,,,,,
155,"puente san miguel","26-12-1992","14-12-1992","13-12-2052",118,,0.25,,,,,,
78,"puente sinaloa","01-09-1960","18-03-2003","18-09-2024",515,,0.327,,,,,,
156,"puente suchiate II","02-07-2001","18-03-2003","18-09-2024",512,,3.742,,,,,,
33,"puente tampico","21-11-1988","18-03-2003","18-09-2024",511,,10.33,,,,,,
31,"puente tecolutla","28-04-1969","18-03-2003","18-09-2024",510,,0.882,,,,,,
157,"puente tlacotalpan","12-10-1976","18-03-2003","18-09-2024",509,,1.424,,,,,,
21,"puente usumacinta","16-05-1968","18-03-2003","18-09-2024",508,,1.632,,,,,,
158,"puente zaragoza-ysleta","20-12-1990","27-05-2020","21-07-2030",885,,0.81,,,,,,
89,"puerto méxico-ent. la carbonera","01-05-1994","30-09-2011","30-09-2071",367,,32,,,,,,
36,"querétaro-irapuato","12-02-1962","30-09-2011","30-09-2071",358,,104.75,,,,,,
62,"rancho viejo-taxco","14-07-1996","30-09-2011","30-09-2071",359,,8.34,,,,,,
98,"reynosa-matamoros","30-04-1999","27-05-2020","21-07-2030",885,,44.04,,,,,,"rescate"
113,"ríoverde-ciudad valles","28-06-2013","08-08-2007","08-08-2047",78,,113.18,"LPSLCB 14-2U",2014-07-24,22,1800000000,,
109,"rumorosa-tecate","17-12-1998","30-09-2011","30-09-2071",362,,55.5,,,,,,
38,"salamanca-león","11-12-2014","26-05-2011","25-05-2071",139,"https://www.fonadin.gob.mx/fni2/fp42/",79.048,,,,,,
10,"salina cruz-la ventosa","15-05-2003","30-09-2011","30-09-2071",361,,75.398,,,,,,
112,"san josé del cabo-aeropuerto los cabos","17-10-2002","30-09-2011","30-09-2071",320,,20.2,,,,,,
3,"san martín texmelucan-tlaxcala","12-09-1991","15-03-1990","15-03-2041",93,,25.5,,,,,,
128,"santa ana-altar","17-02-2006","16-08-2005","15-08-2035",129,,73,"ZONALCB 06U, ZONALCB 06-2U , ZONALCB 06-3U ",2006-12-01,"27,28,28",,,"concesion"
121,"supervia poniente (autopista urbana poniente)","01-11-1998",,,,,8,,,,,,
71,"tepic-san blas","22-02-2017","19-05-2016","19-05-2046",842,,31,,,,,,
111,"Mexicali-Tijuana","28-09-1991","28-11-1989","28-11-2049",91,,29.8,,,,,,
73,"tepic-villa unión","10-11-2006","06-04-2005","05-04-2045",106,,237.837,,,,,,
29,"tihuatlán-tuxpam","23-02-1994",,,,,,,,,,,
84,"torreón-saltillo","01-08-1994","30-09-2011","30-09-2071",364,,114.8,,,,,,"rescate"
16,"tuxtla gutierrez-san cristobal de las casas","23-12-2002","31-10-2007","30-10-2057",102,,46.5,"CASCB 22U",2022-11-15,29,5300000000,,
56,"uruapan-nueva italia","20-06-2000","30-03-2012","29-03-2072",130,"https://www.fonadin.gob.mx/fni2/fp56/",78,,,,,,
122,"viaducto bicentenario","21-09-2009",,,,,21.42,,,,,,
120,"viaducto elevado tlalpan","27-10-2016","07-08-2014","02-04-2047",351,,,,,,,,
82,"yerbanís-goméz palacio","10-08-1991",,,,,,,,,,,"rescate"
61,"zacapalco-rancho viejo","11-08-1994","30-09-2011","30-09-2071",365,,17.12,,,,,,
41,"zapotlanejo-lagos de moreno","26-05-1991","03-10-2007","02-04-2048",98,,118.5,,,,,,"rescate"
141,"libramiento de ciudad juárez","09-06-2023","10-11-2020","23-04-2052",97,,31.3,,,,,,
162,"puente el prieto",,,,,,,,,,,,
167,"libramiento noreste de zacatecas",,,,,,,,,,,,
170,"san martín texmelucan-huejotzingo",,,,,,,,,,,,
171,"Cuapiaxtla-cuacnopalan","01-11-2024","10-09-2020","01-09-2051",909,,63.66,"BLKCPI 18",2018-09-12,15,,,
174,"Toluca-atlacomulco","31-03-1993",,,,,52,,,,,,
175,"libramiento aguascalientes (poniente)","21-05-2022",,,,,45,,,,,,
176,"libramiento aguascalientes (surponiente)","21-05-2022","25-03-2009","24-03-2039",123,,21,,,,,,
