"stretch_id","stretch_name","stretch_length_km","sct_id_via","road_id","manage","way"
1,"Mexico-chalco",15.055,57,1,"federal",
2,"Chalco-mexico",15.055,57,1,"federal",
3,"Mexico-san martin texmelucan",74.555,57,1,"federal",
4,"san martin texmelucan-puebla",36.155,57,1,"federal",
5,"Mexico-circuito exterior mexiquense",15.955,57,1,"federal",
6,"LIBRAMIENTO AMECAMECA-NEPANTLA",26.81,237,2,"federal",
7,"SAN MARTÍN TEXMELUCAN-TLAXCALA",19.419,112,3,"federal",
8,"JANTETELCO - EL HIGUERON",61.8,,198,"federal",
9,"Cuautla-chinameca",,,198,"federal",
10,"Jantetelco-cuautla",,,198,"federal",
11,"PUEBLA-ACATZINGO",42.27,192,4,"federal",
12,"PUEBLA-Amozoc",13.758,192,4,"federal",
13,"Puebla-ent. Amozoc III",6.879,192,4,"federal",
14,"CUAPIAXTLA-CUACNOPALAN",63.66,,171,"federal_state",
15,"el seco-cuacnopalan",37.461,,171,"federal",
16,"Cuapiaxtla-el seco",22.701,,171,"state",
17,"ACATZINGO-CD. MENDOZA",92.95,193,5,"federal",
18,"ACATZINGO-esperanza",47.375,193,5,"federal",
19,"Esperanza-cd mendoza",45.575,193,5,"federal",
20,"CORDOBA-la tinaja",45,16,6,"federal",
21,"Cuitlahuac-la tinaja",30.86,16,6,"federal",
22,"Cordoba-cuitlahuac",14.14,16,6,"federal",
23,"la tinaja-veracruz",53,16,6,"federal",
24,"la tinaja-paso del toro",44.9,16,6,"federal",
25,"paso del toro-veracruz",8.1,16,6,"federal",
26,"Cuacnopalan-tehuacán",41.048,115,7,"federal",
27,"Tehuacán-miahuatlán",30.367,115,7,"federal",
28,"Miahuatlán-nochixtlán",107.085,115,7,"federal",
29,"Miahuatlán-coixtlahuaca",69.885,115,7,"federal",
30,"Nochixtlán-oaxaca",64.5,115,7,"federal",
31,"Nochixtlán-huitzo",38.51,115,7,"federal",
32,"Huitzo-oaxaca",25.99,115,7,"federal",
33,"BARRANCA LARGA-VENTANILLA",,,197,,
34,"BARRANCA LARGA-VENTANILLA",,,197,,
35,"la tinaja-isla",118.15,33,8,"federal",
36,"la tinaja-cosamaloapan",83.36,33,8,"federal",
37,"Cosamaloapan-isla",34.79,33,8,"federal",
38,"Isla-cosoleacaque",109.5,33,8,"federal",
39,"Isla-acayucan",69.85,33,8,"federal",
40,"Acayucan-cosoleacaque",40,33,8,"federal",
41,"TÚNEL COATZACOALCOS",1.6,,,,
42,"MITLA-TEHUANTEPEC II",71,252,9,"federal",
43,"Mitla-lachixitla",39.5,252,9,"federal",
44,"LACHIXILA-ENT. TEHUANTEPEC II",40,252,9,"federal",
