"stretch_id","motorbike","car","car_axle","bus_2_axle","bus_3_axle","bus_4_axle","truck_2_axle","truck_3_axle","truck_4_axle","truck_5_axle","truck_6_axle","truck_7_axle","truck_8_axle","truck_9_axle","truck_10_axle","load_axle","motorbike_axle","car_rush_hour","car_rush_hour_2","car_evening_hour","car_evening_hour_2","car_morning_night_hour","pedestrian","bicycle","residente","toll_ref"
1,13,26,13,52,52,52,50,50,81,81,127,127,127,127,,25,,,,,,,,,,"tarifas_capufe.csv"
2,13,26,13,52,52,52,50,50,81,81,127,127,127,127,,25,,,,,,,,,,"tarifas_capufe.csv"
3,86,173,87,350,350,350,335,335,688,688,943,943,943,943,,168,,,,,,,,,,"tarifas_capufe.csv"
4,26,53,27,137,137,137,129,129,261,261,366,366,366,366,,65,,,,,,,,,,"tarifas_capufe.csv"
5,15,30,15,53,53,53,52,52,82,82,128,128,128,128,,26,,,,,,,,,,"tarifas_capufe.csv"
6,33,66,33,110,110,110,110,110,110,150,150,210,210,210,,55,,,,,,,,,,"tarifas_capufe.csv"
7,50,100,,194,194,194,194,230,230,353,353,472,472,472,,,,,,,,,,,,"tarifas_viapass.csv"
8,122,244,,513,513,513,513,513,513,837,837,1024,1024,1024,,,,,,,,,,,,"tarifas_viapass.csv"
9,65,130,,274,274,274,274,274,274,447,447,545,545,545,,,,,,,,,,,,"tarifas_viapass.csv"
10,57,114,,239,239,239,239,239,239,392,392,478,478,478,,,,,,,,,,,,"tarifas_viapass.csv"
11,47,94,47,196,196,196,187,187,360,360,480,480,480,480,,94,,,,,,,,,,"tarifas_capufe.csv"
12,24,48,24,99,99,99,95,95,180,180,252,252,252,252,,48,,,,,,,,,,"tarifas_capufe.csv"
13,8,16,8,37,37,37,36,36,64,64,82,82,82,82,,18,,,,,,,,,,"tarifas_capufe.csv"
14,78,155,78,309,309,309,309,309,309,559,559,887,887,887,,,,,,,,,,,,"tarifas_autopistacuapiaxtlacuacnopalan.csv"
15,48,97,48,193,193,193,193,193,193,348,348,553,553,553,,,,,,,,,,,,"tarifas_autopistacuapiaxtlacuacnopalan.csv"
16,29,59,29,117,117,117,117,117,117,211,211,335,335,335,,,,,,,,,,,,"tarifas_autopistacuapiaxtlacuacnopalan.csv"
17,89,178,89,409,409,409,386,386,745,745,1085,1085,1085,1085,,193,,,,,,,,,,"tarifas_capufe.csv"
18,47,94,47,204,204,204,202,202,372,372,543,543,543,543,,101,,,,,,,,,,"tarifas_capufe.csv"
19,47,94,47,204,204,204,202,202,372,372,543,543,543,543,,101,,,,,,,,,,"tarifas_capufe.csv"
20,73,146,73,208,208,208,195,195,195,278,278,292,292,292,,98,,,,,,,,,,"tarifas_capufe.csv"
21,50,100,50,144,144,144,132,132,132,184,184,181,181,181,,66,,,,,,,,,,"tarifas_capufe.csv"
22,25,51,26,64,64,64,62,62,62,93,93,90,90,90,,31,,,,,,,,,,"tarifas_capufe.csv"
23,68,136,68,226,226,226,223,223,223,288,288,336,336,336,,112,,,,,,,,,,"tarifas_capufe.csv"
24,55,111,56,183,183,183,181,181,181,243,243,277,277,277,,91,,,,,,,,,,"tarifas_capufe.csv"
25,10,21,11,43,43,43,39,39,39,47,47,53,53,53,,20,,,,,,,,,,"tarifas_capufe.csv"
26,29,58,29,138,138,138,136,136,170,170,266,266,266,266,,68,,,,,,,,,,"tarifas_capufe.csv"
27,21,42,21,71,71,71,70,70,99,99,146,146,146,146,,35,,,,,,,,,,"tarifas_capufe.csv"
28,49,99,50,218,218,218,217,217,264,264,368,368,368,368,,109,,,,,,,,,,"tarifas_capufe.csv"
29,24,48,24,111,111,111,106,106,127,127,183,183,183,183,,53,,,,,,,,,,"tarifas_capufe.csv"
30,57,114,57,275,275,275,274,274,319,319,497,497,497,497,,137,,,,,,,,,,"tarifas_capufe.csv"
31,49,98,49,204,204,204,208,208,264,264,330,330,330,330,,104,,,,,,,,,,"tarifas_capufe.csv"
32,19,38,19,65,65,65,64,64,93,93,129,129,129,129,,32,,,,,,,,,,"tarifas_capufe.csv"
33,122,245,123,490,490,490,490,490,490,734,734,1102,1102,1102,,245,,,,,,,,,,"tarifas_capufe.csv"
34,122,245,123,490,490,490,490,490,490,734,734,1102,1102,1102,,245,,,,,,,,,,"tarifas_capufe.csv"
35,145,290,145,457,457,457,381,381,381,561,561,647,647,647,,191,,,,,,,,,,"tarifas_capufe.csv"
