"stretch_id","tollbooth_id_in","tollbooth_id_out"
1,148,148
1,151,151
1,150,150
1,149,149
2,212,212
3,268,268
3,1540,1540
4,1424,1424
4,680,680
5,950,950
5,269,269
5,1539,1539
5,951,951
6,249,249
6,1538,1538
7,1326,1326
7,838,838
8,513,513
8,514,514
9,514,514
9,513,513
10,517,517
10,516,516
11,636,636
11,1426,1426
12,639,639
12,637,637
13,638,638
13,640,640
14,658,658
14,657,657
15,660,660
15,659,659
16,658,658
16,657,657
17,662,662
17,1413,1413
18,661,661
18,1412,1412
19,1411,1411
19,663,663
20,1388,1388
20,863,863
21,864,864
21,862,862
22,863,863
22,1388,1388
23,881,881
24,883,883
24,884,884
25,882,882
25,880,880
26,1416,1416
26,1415,1415
26,1414,1414
26,685,685
26,687,687
26,686,686
27,675,675
27,674,674
27,1419,1419
27,1417,1417
27,673,673
27,1418,1418
28,629,629
29,630,630
29,631,631
30,619,619
30,616,616
31,616,616
32,1320,1320
32,617,617
32,619,619
33,1314,1314
33,634,634
34,1315,1315
34,614,614
35,859,859
35,860,860
36,859,859
36,860,860
37,1393,860
37,1394,859
38,1396,1396
38,1395,1395
39,853,853
39,854,854
40,851,851
40,852,852
41,1399,1399
41,855,855
42,1316,1316
42,626,626
43,627,627
43,625,625
44,1317,1317
44,632,632
45,1319,1319
46,622,622
47,633,633
47,624,624
47,1318,1318
48,621,621
48,623,623
49,856,856
49,1390,1390
50,897,897
50,1391,1391
51,615,615
51,1321,1321
52,628,628
52,1322,1322
53,866,866
53,865,865
53,1397,1397
54,635,635
54,1425,1425
55,834,834
55,831,831
56,830,830
56,832,832
57,831,831
57,834,834
58,647,647
58,1408,1408
59,645,645
59,646,646
60,648,648
60,644,644
61,857,857
61,1379,1379
62,642,642
62,643,643
63,830,830
63,,
63,832,832
64,643,643
64,642,642
65,870,870
65,1378,1378
66,1380,1380
66,873,873
67,858,858
67,1382,1382
68,1384,1384
68,895,895
69,885,885
69,1381,1381
70,1376,1376
70,879,879
71,868,868
72,869,869
73,869,869
74,1335,1335
74,797,797
75,1336,1336
75,796,796
76,1337,1337
76,795,795
77,1333,1333
77,60,60
78,55,55
78,1334,1334
79,54,54
79,1328,1328
80,56,56
80,1330,1330
81,58,58
81,1329,1329
82,59,59
82,1332,1332
83,805,805
83,1340,1340
84,1339,1339
84,804,804
85,1338,1338
85,803,803
86,1341,1341
86,800,800
87,801,801
88,798,798
89,794,794
89,1342,1342
90,1343,1343
90,806,806
91,1344,1344
91,35,35
92,33,33
93,1346,1346
93,32,32
94,31,31
95,1525,1525
95,185,185
96,187,187
96,186,186
97,1542,1542
97,188,188
98,189,189
98,190,190
99,190,190
99,189,190
100,193,193
100,1541,1541
101,162,162
101,161,161
102,176,176
102,1543,1543
102,163,163
103,177,177
103,178,178
104,179,179
105,180,180
106,1054,1054
107,,
108,175,175
109,164,164
109,165,165
110,1556,1556
110,184,184
111,166,166
112,167,167
113,170,170
113,169,169
114,181,181
114,174,174
114,172,172
115,171,171
115,173,173
116,1548,1548
116,183,183
117,194,194
118,183,183
119,181,181
120,198,198
120,199,199
121,267,267
121,953,953
121,266,266
122,265,265
122,266,266
123,1545,1545
123,286,286
124,205,205
124,1580,1580
124,206,206
125,197,197
125,1544,1544
126,,
127,280,280
128,285,285
129,241,241
129,242,242
130,241,241
131,241,241
132,250,250
133,283,283
133,284,284
134,204,204
135,395,395
136,400,400
136,398,398
136,396,396
137,399,399
137,397,397
138,391,391
138,1362,1362
138,392,392
139,655,655
139,1400,1400
140,1373,1373
140,872,872
141,1372,1372
141,891,891
142,893,893
142,892,892
143,877,877
143,874,874
144,878,878
144,1369,1369
145,1369,1369
145,878,878
146,871,871
146,1371,1371
147,898,898
148,900,900
149,902,902
149,899,899
150,901,901
150,1374,1374
151,1377,1377
151,904,904
152,904,904
152,1377,1377
153,907,907
153,905,905
154,1375,1375
154,896,896
155,1192,1192
155,813,813
156,811,811
157,812,812
158,1366,1366
158,890,890
159,889,889
159,1368,1368
160,1524,1524
160,281,281
161,218,218
161,217,217
162,702,702
162,704,704
162,1573,1573
163,1440,1440
163,703,703
164,1442,1442
164,1566,1566
164,1567,1567
164,251,251
165,705,705
165,1430,1430
166,698,698
166,700,700
167,701,701
167,699,699
168,322,322
169,326,326
170,347,347
170,1568,1568
171,361,361
171,360,360
172,319,319
172,318,318
173,314,314
174,314,314
174,317,317
175,1562,1562
175,344,344
176,318,318
177,342,342
177,341,341
177,1564,1564
177,1563,1563
178,1565,1565
179,362,362
180,310,310
180,1565,1565
181,309,309
181,311,311
182,332,332
183,335,335
184,339,339
184,338,338
185,339,339
185,338,338
186,306,306
187,933,933
187,320,320
188,329,329
189,327,327
189,328,328
190,345,345
190,346,346
191,333,333
191,334,334
192,454,454
192,453,453
193,312,312
193,313,313
194,343,343
194,340,340
195,1570,1570
195,420,420
196,420,420
196,1570,1570
197,3,3
197,4,4
198,1,1
198,2,2
199,3,3
199,4,4
200,1200,1200
200,930,930
201,421,421
201,423,423
202,421,421
202,423,423
203,426,426
203,427,427
204,422,422
204,424,424
205,428,428
206,450,450
206,1569,1569
207,451,451
207,449,449
208,,
209,,
210,414,414
210,416,416
211,,
212,,
213,,
214,,
215,,
216,431,431
217,1230,1230
217,743,743
218,1233,1233
218,726,726
219,731,731
219,1234,1234
220,1235,1235
220,730,730
221,,
222,1236,1236
222,728,728
223,729,729
223,1099,1099
224,1429,1429
224,695,695
225,1231,1231
225,718,718
226,715,744
226,715,715
226,715,1232
227,712,718
227,716,716
227,1231,1231
227,712,1232
227,712,744
228,1232,1232
228,711,711
228,1232,744
229,718,718
229,1232,1232
229,1232,715
229,1232,716
230,717,717
230,713,714
230,713,715
231,,
232,,
233,,
234,714,714
235,714,714
235,715,714
235,715,715
236,,
237,,
238,719,719
238,1246,1246
239,721,721
239,723,723
240,722,722
240,720,720
241,50,50
241,52,52
241,51,51
242,49,49
242,1497,1497
242,938,938
242,1490,1490
242,1496,1496
243,45,45
244,1494,1494
245,1532,1532
245,1493,1493
246,1492,1492
246,48,48
247,1488,1488
247,238,238
247,1486,1486
248,219,219
248,1536,1536
249,1537,1537
249,220,220
250,1535,1535
250,299,299
251,1534,1534
251,279,279
252,1533,1533
252,157,157
253,260,260
253,261,261
254,261,261
254,260,260
255,264,264
255,262,262
256,517,517
256,516,516
256,301,301
257,304,304
257,300,300
258,303,303
259,223,223
259,221,221
260,224,224
260,1464,1464
261,222,222
