strech_id,tollbooth_id,tollbooth_name,motorbike,car,car-axle,bus-2axle,bus-3axle,bus-4axle,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,load-axle,toll_ref,motorbike-axle,car-rush-hour,car-evening-hour,pedestrian,valid_from
1,71,CHALCO,11,22,11,40,40,40,39,39,64,64,97,97,97,97,20,pase,,,,,
2,926,IXTAPALUCA,11,22,11,40,40,40,39,39,64,64,99,99,99,99,20,pase,,,,,
6,196,OZUMBA,27,54,27,84,84,84,84,84,84,116,116,162,162,162,42,pase,,,,,
3,7,SAN MARCOS,70,140,70,271,271,271,259,259,533,533,730,730,730,730,130,pase,,,,,
4,8,S. MARTIN PUE,22,44,22,107,107,107,100,100,202,202,284,284,284,284,50,pase,,,,,
7,917,SAN MARTÍN TEXMELUCAN-VIAPASS,38,76,38,147,147,147,147,174,174,268,268,358,358,358,,pase,,,,,
,937,HUEJOTZINGO,19,37,18,83,83,83,83,83,83,134,134,176,176,176,,pase,,,,,
8,558,EL HIGUERON,96,192,96,384,384,384,384,384,384,629,629,768,768,768,,pase,,,,,
9,558,EL HIGUERON,49,98,49,196,196,196,196,196,196,321,321,392,392,392,,pase,,,,,
10,558,EL HIGUERON,45,91,45,181,181,181,181,181,181,297,297,362,362,362,,pase,,,,,
11,26,AMOZOC,37,75,38,153,153,153,146,146,279,279,372,372,372,372,73,pase,,,,,
12,26,AMOZOC,19,39,20,75,75,75,73,73,139,139,196,196,196,196,37,pase,,,,,
17,27,ESPERANZA,72,145,73,316,316,316,299,299,577,577,840,840,840,840,150,pase,,,,,
18,27,ESPERANZA,37,75,38,159,159,159,158,158,288,288,421,421,421,421,79,pase,,,,,
19,27,ESPERANZA,37,75,38,159,159,159,158,158,288,288,421,421,421,421,79,pase,,,,,
1378,45,FORTIN,17,34,17,86,86,86,71,71,139,139,187,187,187,187,36,pase,,,,,
1379,45,FORTIN,7,15,8,46,46,46,44,44,88,88,107,107,107,107,22,pase,,,,,
20,116,CUITLAHUAC,59,118,59,161,161,161,152,152,152,214,214,225,225,225,76,pase,,,,,
22,116,CUITLAHUAC,21,42,21,49,49,49,48,48,48,71,71,74,74,74,24,pase,,,,,
21,116,CUITLAHUAC,40,81,41,112,112,112,103,103,103,143,143,151,151,151,52,pase,,,,,
23,117,PASO DEL TORO,55,111,56,174,174,174,172,172,172,223,223,260,260,260,86,pase,,,,,
24,117,PASO DEL TORO,45,90,45,142,142,142,140,140,140,189,189,214,214,214,70,pase,,,,,
25,117,PASO DEL TORO,9,18,9,32,32,32,30,30,30,36,36,41,41,41,15,pase,,,,,
26,76,TEHUACAN,23,46,23,107,107,107,106,106,132,132,132,132,132,132,53,pase,,,,,
27,77,MIAHUATLAN,16,33,17,56,56,56,55,55,75,75,75,75,75,75,28,pase,,,,,
28,78,SUCHIXTLAHUACA,40,80,40,168,168,168,167,167,205,205,205,205,205,205,84,pase,,,,,
29,78,SUCHIXTLAHUACA,19,39,20,85,85,85,82,82,99,99,99,99,99,99,41,pase,,,,,
30,79,HUITZO,46,93,47,212,212,212,211,211,248,248,248,248,248,248,106,pase,,,,,
31,79,HUITZO,39,79,40,159,159,159,161,161,205,205,205,205,205,205,81,pase,,,,,
32,79,HUITZO,15,30,15,50,50,50,49,49,71,71,71,71,71,71,25,pase,,,,,
35,118,COSAMALOAPAN,118,236,118,353,353,353,296,296,296,434,434,501,501,501,148,pase,,,,,
36,118,COSAMALOAPAN,97,195,98,279,279,279,280,280,280,351,351,350,350,350,140,pase,,,,,
37,118,COSAMALOAPAN,20,40,20,75,75,75,73,73,73,82,82,77,77,77,37,pase,,,,,
38,119,ACAYUCAN (SAYULA),109,219,110,320,320,320,272,272,272,421,421,462,462,462,136,pase,,,,,
39,119,ACAYUCAN (SAYULA),71,142,71,196,196,196,191,191,191,248,248,237,237,237,96,pase,,,,,
40,119,ACAYUCAN (SAYULA),40,81,41,125,125,125,124,124,124,173,173,154,154,154,62,pase,,,,,
41,428,ALLENDE,19,39,19,68,68,68,68,68,139,139,202,202,202,202,34,pase,,,,,
42,212,MITLA,34,68,34,137,137,137,137,137,137,216,216,257,257,257,68,pase,,,,,
43,212,MITLA,28,56,28,113,113,113,113,113,113,178,178,211,211,211,56,pase,,,,,
44,216,TEHUANTEPEC II,36,71,36,142,142,142,142,142,142,224,224,266,266,266,71,pase,,,,,
45,89,TEHUANTEPEC,20,40,20,79,79,79,75,75,112,112,139,139,139,139,38,pase,,,,,
46,90,IXTEPEC,40,80,40,153,153,153,151,151,217,217,279,279,279,279,76,pase,,,,,
47,90,IXTEPEC,20,40,20,79,79,79,75,75,112,112,139,139,139,139,38,pase,,,,,
48,90,IXTEPEC,20,40,20,79,79,79,75,75,112,112,124,124,124,124,38,pase,,,,,
49,22,ALVARADO,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,pase,,,,,
50,63,TLACOTALPAN,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,pase,,,,,
51,29,CARACOL,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,pase,,,,,
52,28,PAPALOAPAN,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,pase,,,,,
53,67,DOVALI,10,20,10,37,37,37,37,37,65,65,100,100,100,100,19,pase,,,,,
54,990,AMOZOC-PEROTE (AMOZOC),43,86,43,132,135,138,131,134,159,188,204,257,257,257,65,pase,,,,,
55,990,AMOZOC-PEROTE (CUAPIAXTLA),48,97,48,158,162,169,158,162,169,207,207,291,291,291,80,pase,,,,,
56,990,AMOZOC-PEROTE (CUAPIAXTLA),21,42,21,50,53,57,50,53,57,65,65,99,99,99,26,pase,,,,,
