strech_id,motorbike,car,car-axle,bus-2axle,bus-3axle,bus-4axle,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,load-axle,toll_ref,motorbike-axle,car-rush-hour,car-evening-hour,peaton
1,12,25,13,47,47,47,46,46,74,74,114,114,114,114,23,pase,,,,
2,12,25,13,47,47,47,46,46,74,74,116,116,116,116,23,pase,,,,
3,82,165,83,319,319,319,306,306,628,628,860,860,860,860,153,pase,,,,
4,25,51,26,125,125,125,117,117,238,238,334,334,334,334,59,pase,,,,
5,14,29,,48,48,48,47,47,75,75,117,117,117,117,,pase,,,,
6,31,63,32,100,100,100,100,100,100,137,137,192,192,192,50,pase,,,,
7,48,96,48,184,184,184,184,218,218,335,335,448,448,448,,pase,,,,
8,116,233,116,468,468,468,468,468,468,764,764,934,934,934,,pase,,,,
9,62,124,62,250,250,250,250,250,250,408,408,497,497,497,,pase,,,,
10,54,109,54,218,218,218,218,218,218,358,358,436,436,436,,pase,,,,
11,45,90,45,179,179,179,171,171,328,328,438,438,438,438,86,pase,,,,
12,23,46,23,90,90,90,87,87,164,164,230,230,230,230,44,pase,,,,
13,7,15,,34,34,34,33,33,58,58,75,75,75,75,,sct_site,,,,
14,75,150,75,299,299,299,299,299,299,540,540,858,858,858,,pase,,,,
15,47,93,47,186,186,186,186,186,186,336,336,534,534,534,,pase,,,,
16,28,56,28,113,113,113,113,113,113,204,204,324,324,324,,pase,,,,
17,85,170,85,373,373,373,352,352,680,680,990,990,990,990,176,pase,,,,
18,45,90,45,186,186,186,184,184,339,339,495,495,495,495,92,pase,,,,
19,45,90,45,186,186,186,184,184,339,339,495,495,495,495,92,pase,,,,
20,70,140,70,190,190,190,178,178,178,253,253,266,266,266,89,pase,,,,
21,48,96,48,131,131,131,120,120,120,168,168,165,165,165,60,pase,,,,
22,24,49,25,58,58,58,57,57,57,85,85,82,82,82,29,pase,,,,
23,65,130,65,206,206,206,203,203,203,263,263,307,307,307,102,pase,,,,
24,53,106,53,167,167,167,165,165,165,222,222,253,253,253,83,pase,,,,
25,10,20,10,39,39,39,36,36,36,43,43,48,48,48,18,pase,,,,
26,27,55,28,125,125,125,124,124,155,155,243,243,243,243,62,pase,,,,
27,20,40,20,65,65,65,64,64,90,90,133,133,133,133,32,pase,,,,
28,47,95,48,199,199,199,198,198,241,241,336,336,336,336,99,pase,,,,
