"strech_id","strech_name"
1,"Mexico-chalco"
2,"Chalco-mexico"
3,"Mexico-san martin texmelucan"
4,"san martin texmelucan-puebla"
5,"Mexico-circuito exterior mexiquense"
6,"LIBRAMIENTO AMECAMECA-NEPANTLA"
7,"SAN MARTÍN TEXMELUCAN-TLAXCALA"
8,"JANTETELCO - EL HIGUERON"
9,"Cuautla-chinameca"
10,"Jantetelco-cuautla"
11,"PUEBLA-ACATZINGO"
12,"PUEBLA-Amozoc"
13,"Puebla-ent. Amozoc III"
14,"CUAPIAXTLA-CUACNOPALAN"
15,"el seco-cuacnopalan"
16,"Cuapiaxtla-el seco"
17,"ACATZINGO-CD. MENDOZA"
18,"ACATZINGO-esperanza"
19,"Esperanza-cd mendoza"
20,"CORDOBA-la tinaja"
21,"Cuitlahuac-la tinaja"
22,"Cordoba-cuitlahuac"
23,"la tinaja-veracruz"
24,"la tinaja-paso del toro"
25,"paso del toro-veracruz"
26,"Cuacnopalan-tehuacán"
27,"Tehuacán-miahuatlán"
28,"Miahuatlán-nochixtlán"
29,"Miahuatlán-coixtlahuaca"
30,"Nochixtlán-oaxaca"
31,"Nochixtlán-huitzo"
32,"Huitzo-oaxaca"
33,"BARRANCA LARGA-VENTANILLA"
34,"BARRANCA LARGA-VENTANILLA"
35,"la tinaja-isla"
36,"la tinaja-cosamaloapan"
37,"Cosamaloapan-isla"
38,"Isla-cosoleacaque"
39,"Isla-acayucan"
40,"Acayucan-cosoleacaque"
41,"TÚNEL COATZACOALCOS"
42,"MITLA-TEHUANTEPEC II"
43,"Mitla-lachixitla"
44,"LACHIXILA-ENT. TEHUANTEPEC II"
45,"salina cruz-tehuantepec"
46,"Tehuantepec-la ventosa"
47,"Tehuantepec-ixtepec"
48,"Ixtepec-la ventosa"
49,"PUENTE NACIONAL ALVARADO"
50,"PUENTE NACIONAL TLACOTALPAN"
51,"PUENTE NACIONAL CARACOL"
52,"PUENTE NACIONAL PAPALOAPAN"
53,"PUENTA NACIONAL DOVALI"
54,"Amozoc-ent. Ixtenco"
55,"ent. Ixtenco-ent oriental"
56,"ent. Ixtenco-cuapiaxtla"
57,"ent. Cuapiaxtla-ent orientel"
58,"ent. Oriental-perote II"
59,"ent. Oriental-ent. Cantona"
60,"ent. Cantona-ent perote II"
61,"libramiento de perote"
62,"ent. Ixtenco- ent. Audi"
63,"AMOZOC-PEROTE (AUDI CUAPIAXTLA A1 Y A2)"
64,"AMOZOC-PEROTE (AUDI CUAPIAXTLA)"
65,"PEROTE-BANDERILLA"
66,"LIBRAMIENTO XALAPA"
67,"CARDEL-VERACRUZ"
68,"SAN JULIÁN-VERACRUZ"
