"tollbooth_id","tollbooth_name","way","strech_id"
1,"chichimeco",,198
2,"chichimeco",,198
3,"chichimeco",,197
4,"chichimeco",,199
5,"tijuana","ent. planta dart-tijuana",754
6,"el hongo","rumorosa-tecate",518
7,"el hongo",,517
8,"el hongo","rumorosa-el hongo",517
9,"el hongo","el hongo-tecate",519
10,"ensenada","la misión-ensenada",523
11,"la rumorosa (centinela)",,1384
12,"la rumorosa (centinela)",,1384
13,"tijuana",,755
14,"tijuana","ent. esperanza-ent. sandoval aux. 2",755
15,"libramiento de mexicalli",,515
16,"libramiento de mexicalli",,516
17,"libramiento de mexicalli",,516
18,"nodo popotla","la misión-corredor 2000",522
19,"nodo popotla",,522
20,"tijuana","paso del águila-tijuana",751
21,"tijuana","ent. tecate-paso del águila aux. 1",752
22,"playas de tijuana","tijuana-rosarito",520
23,"rosarito","rosarito-la misión",521
24,"tijuana","tecate-tijuana",750
25,"tijuana",,
26,"tijuana",,
27,"aeropuerto los cabos","san josé del cabo-aeropuerto los cabos",768
27,"aeropuerto los cabos","cabo san lucas-aeropuerto los cabos",769
27,"aeropuerto los cabos",,774
27,"aeropuerto los cabos","el mangle-aeropuerto los cabos",775
27,"aeropuerto los cabos",,778
28,"el mangle","san josé del cabo-el mangle",771
28,"el mangle","cabo san lucas-el mangle",772
28,"el mangle","aeropuerto los cabos-el mangle",775
28,"el mangle",,776
28,"el mangle",,779
29,"san josé del cabo","cabo san lucas-san josé del cabo",770
29,"san josé del cabo","el mangle-san josé del cabo",771
29,"san josé del cabo",,773
29,"san josé del cabo",,781
29,"san josé del cabo","aeropuerto los cabos-san josé del cabo",768
30,"cabo san lucas",,772
30,"cabo san lucas",,780
30,"cabo san lucas",,777
30,"cabo san lucas","el mangle-cabo san lucas",772
30,"cabo san lucas","san josé del cabo-cabo san lucas",770
30,"cabo san lucas","aeropuerto los cabos-cabo san lucas",769
31,"la seyba",,94
32,"la seyba",,93
33,"la seyba",,92
34,"puente la unidad",,1366
35,"zacatal",,91
36,"ceda",,1421
37,"ceda",,1422
38,"ceda",,1418
39,"ceda",,1419
40,"ceda",,1420
41,"cien metros r1",,
42,"cien metros r2",,
43,"cien metros r3",,835
43,"cien metros r3",,838
43,"cien metros r3",,839
44,"la venta",,
45,"la venta",,244
46,"la venta",,1024
46,"la venta",,1025
46,"la venta",,1026
46,"la venta",,1027
46,"la venta",,1028
46,"la venta",,1029
46,"la venta",,1030
46,"la venta",,1031
46,"la venta",,1032
46,"la venta",,1033
46,"la venta",,1034
46,"la venta",,1035
47,"la venta",,
48,"marquesa",,243
49,"marquesa",,242
50,"santa fe",,241
51,"santa fe",,241
52,"santa fe",,241
53,"tlalpan",,320
54,"arriaga viapass",,79
55,"chiapa de corzo viapass",,78
56,"jiquipilas",,81
56,"jiquipilas",,80
57,"jiquipilas",,1398
58,"jiquipilas",,81
58,"jiquipilas",,80
59,"ocotzocoautla",,82
60,"ocozocoautla (ocuilapa)",,77
61,"rodolfo robles",,1374
62,"suchiate ii",,1376
63,"camargo",,1345
64,"cuahutemoc",,1349
65,"galeana",,1351
66,"guadalupe",,1362
67,"jeronimo",,1352
68,"jimenez",,1346
69,"jimenez",,447
70,"ojinaga",,1353
71,"ojinaga",,511
72,"ojo laguna",,1348
73,"puente guadalupe tornillo",,1363
74,"puente lerdo-stanton",,1364
75,"puente paso del norte",,1370
76,"puente zaragoza-ysleta",,1377
77,"sacramento",,446
78,"sacramento",,1347
79,"saucillo","conchos-delicias",1344
80,"savalza",,1350
81,"villa ahumada","el sueco-villa ahumada",1343
82,"acuña",,478
83,"agujita-allende",,477
84,"huachichil","huachichil-ent. carbonera",461
85,"la carbonera",,459
86,"la cuchilla","matamoros-el porvenir",442
87,"ojo caliente",,453
88,"ojo caliente",,453
89,"ojo caliente",,452
90,"ojo caliente",,451
91,"ojo caliente",,452
92,"piedras negras",,513
93,"piedras negras 2",,514
94,"play de ayala",,443
95,"san pedro torreon",,440
96,"san pedro torreon",,441
97,"san pedro torreon",,439
98,"san pedro torreon",,440
99,"san pedro torreon",,441
100,"torreon",,449
101,"torreon",,450
102,"torreon",,450
103,"torreon",,449
104,"torreon",,448
105,"cuyutlan",,379
106,"bermejillo","gómez palacio-est.banderas",444
107,"ceballos","est. banderas-corralitos",445
108,"coscomate","ent. piloncillo-santa lucía",428
109,"cuencame",,435
110,"cuencame",,434
