tollbooth_id,tollboothsts_id
1,
2,841
3,840
3,842
4,840
4,842
5,57
6,50
6,52
7,51
8,50
8,52
9,51
10,14
11,49
12,
13,
14,55
15,665
16,664
17,
18,13
19,
931,
20,
21,
22,11
23,12
24,53
25,
26,56
27,59
27,60
27,61
28,747
28,748
28,749
29,62
29,63
29,64
30,744
30,745
30,746
31,188
32,188
33,186
34,716
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,90
46,364
46,365
46,366
46,367
46,368
46,369
46,370
46,371
47,364
47,365
47,366
47,367
47,368
47,369
47,370
47,371
48,93
49,91
50,
51,89
52,
53,250
54,
55,66
56,
57,701
58,702
59,703
60,412
61,58
62,33
63,115
64,
65,
66,843
67,
68,114
69,820
70,
71,
72,
73,760
74,
75,31
76,105
77,821
78,
79,
80,
81,88
82,36
83,
84,240
85,239
86,243
87,710
88,710
89,708
89,709
90,708
90,709
91,708
91,709
92,34
93,
94,244
95,740
96,738
96,739
97,738
97,739
98,
99,738
99,739
100,705
100,706
101,707
102,707
103,705
103,706
104,705
104,706
105,136
106,
107,373
108,691
109,149
110,148
111,148
112,149
113,147
114,145
115,689
116,150
116,152
117,151
118,150
118,152
119,151
120,
121,146
122,
123,464
123,465
123,466
123,467
123,468
123,469
123,470
123,471
123,472
123,473
123,474
123,475
123,476
123,477
124,566
124,567
124,568
124,569
124,570
124,571
124,572
124,573
125,574
125,575
125,576
125,577
125,578
125,579
126,574
126,575
126,576
126,577
126,578
126,579
127,566
127,567
127,568
127,569
127,570
127,571
127,572
127,573
128,
129,
130,
131,
132,291
132,292
132,293
132,294
132,295
132,296
132,297
132,298
132,299
132,300
132,301
133,291
133,292
133,293
133,294
133,295
133,296
133,297
133,298
133,299
133,300
133,301
134,449
134,450
134,451
134,452
134,453
134,454
134,455
134,456
134,457
134,458
134,459
134,460
134,461
134,462
134,463
135,208
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,419
150,419
151,420
152,
153,
154,330
154,332
154,333
154,334
154,335
154,336
155,
156,
157,
158,322
158,323
158,324
158,325
158,326
158,327
158,328
159,322
159,323
159,324
159,325
159,326
159,327
159,328
160,
161,
162,
