tollboothsts_id,strech_id
1,413
2,
3,
4,412
5,49
6,
7,52
8,51
9,508
10,70
11,521
12,520
13,522
14,523
15,506
16,
17,89
18,90
19,476
20,11
21,12
22,12
23,17
24,18
25,19
26,299
27,154
28,510
29,
30,
31,1370
32,389
33,1376
34,513
35,50
36,478
37,
38,505
39,53
40,53
41,1383
42,26
43,27
44,29
45,28
46,31
46,30
47,
48,
49,1384
50,518
51,519
52,517
53,750
54,752
55,755
56,751
57,754
58,1374
59,768
60,769
61,775
62,768
63,770
64,771
65,200
66,78
67,45
68,47
69,47
69,48
70,46
71,375
72,376
73,377
74,378
75,394
76,395
77,396
78,396
79,397
80,398
81,398
82,400
83,399
84,400
85,401
86,402
87,402
88,1343
89,241
90,244
91,242
92,
93,243
94,340
95,341
96,342
97,343
98,344
99,344
100,345
101,347
102,346
103,348
104,
105,1377
106,380
107,
108,
109,381
110,382
111,
112,385
113,384
114,1346
115,1345
116,1344
117,210
117,1415
118,206
119,207
120,215
121,204
122,202
122,201
123,202
124,203
125,205
126,
127,480
128,479
129,482
130,481
131,
132,1358
133,155
134,158
135,156
136,379
137,1375
138,
139,
140,418
141,419
142,420
143,421
144,1355
145,431
146,432
147,433
148,434
149,434
149,435
150,436
151,437
152,438
153,222
154,222
155,1387
156,7
157,
158,
159,125
160,126
161,871
161,872
162,873
162,875
162,877
163,875
164,879
165,224
166,20
167,20
168,21
169,23
170,24
171,25
172,194
173,193
174,191
175,190
176,189
177,188
178,192
179,195
180,196
181,
182,410
182,409
183,410
183,409
184,407
185,1368
186,92
187,
188,93
189,1386
190,491
191,495
192,490
193,491
194,488
194,489
195,489
195,488
196,488
196,489
197,488
197,489
198,486
199,492
200,487
201,1338
202,35
203,36
204,37
205,40
205,38
206,39
207,40
208,270
209,271
210,
211,272
212,274
213,273
214,276
215,279
216,277
217,278
218,280
219,298
220,281
221,284
222,282
223,
224,1414
225,285
226,296
227,296
227,288
228,
228,1411
229,1413
230,142
231,141
232,120
233,107
233,121
233,122
234,122
235,
236,124
237,
238,460
239,459
240,461
241,67
242,68
243,442
244,443
245,
246,365
247,366
248,367
249,368
250,320
251,321
252,326
253,325
254,338
254,332
255,330
255,331
256,353
257,351
258,352
259,
259,904
260,913
260,
261,
261,907
262,
262,910
263,911
263,
264,
264,912
265,908
265,
266,
266,903
267,906
267,
268,
268,902
269,
269,909
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,919
280,
281,923
282,924
283,921
284,925
285,920
286,914
287,915
288,917
289,918
290,922
291,899
291,
292,
292,896
293,901
293,
294,
294,898
295,895
295,
296,900
296,
297,891
297,
298,892
298,
299,894
299,
300,
300,908
301,897
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,963
313,969
314,970
314,
315,967
316,964
317,960
317,
318,
318,962
319,
319,966
320,
320,968
321,961
322,972
323,976
324,977
325,974
326,973
327,975
328,971
329,979
330,983
331,984
332,985
333,981
334,980
335,982
336,978
337,
337,1002
338,1003
338,
339,1005
339,
340,1007
340,
341,
341,1008
342,1009
342,
343,
343,1006
344,
344,1001
345,1013
346,1014
347,1015
348,1017
349,1018
350,1019
351,1016
352,1012
353,955
353,
354,
354,956
355,958
355,
356,
356,959
357,957
357,
358,950
358,
359,953
359,
360,
360,949
361,954
361,
362,
363,951
363,
364,1025
365,1026
366,1027
367,1029
368,1030
369,1031
370,1028
371,1024
372,
373,445
374,
375,500
376,307
377,308
378,308
379,309
380,309
381,
382,502
383,503
384,504
385,
386,310
387,310
388,311
389,313
390,
391,
392,316
393,316
394,316
395,319
396,318
396,317
397,319
398,1369
399,83
400,84
401,85
402,135
403,136
404,
405,147
406,71
407,72
408,73
409,74
410,76
410,75
411,76
411,75
412,77
413,160
414,161
415,95
416,
417,162
418,163
419,1
419,2
420,1
421,3
422,5
423,4
424,165
425,167
426,166
427,
428,171
429,175
430,176
431,177
431,176
432,
433,
434,174
434,172
435,54
436,62
437,64
438,63
439,55
440,56
441,57
442,58
443,59
444,60
445,61
446,462
447,
448,
449,551
450,561
451,567
452,576
453,589
454,602
455,616
456,737
457,630
458,644
459,659
460,674
461,689
462,704
463,719
464,537
465,563
466,578
467,590
468,604
469,618
470,738
471,632
472,646
473,660
474,675
475,690
476,705
477,720
478,583
479,648
480,707
481,722
482,536
483,550
484,582
485,594
486,607
487,621
488,742
489,635
490,647
491,661
492,676
493,691
494,706
495,721
496,535
497,549
498,565
499,597
500,609
501,623
502,744
503,637
504,649
505,663
506,678
507,693
508,708
509,723
510,534
511,548
512,564
513,581
514,612
515,
516,
517,639
518,651
519,665
520,679
521,694
522,709
523,724
524,533
525,547
526,562
527,580
528,598
529,628
530,747
531,641
532,653
533,666
534,
535,695
536,710
537,725
538,596
538,532
539,546
540,560
541,579
542,596
543,613
544,749
545,642
546,655
547,667
548,682
549,696
550,711
551,726
552,
553,
554,
555,
556,
557,
558,
559,
560,
561,
562,
563,
564,
565,
566,530
567,544
568,558
569,575
570,592
571,610
572,626
573,748
574,657
575,670
576,684
577,698
578,713
579,727
580,529
581,543
582,557
583,574
584,591
585,606
586,624
587,745
588,640
589,672
590,685
591,700
592,714
593,729
594,
595,
596,
597,
598,
599,
600,
601,
602,
603,
604,688
605,701
606,715
607,730
608,527
609,541
610,555
611,572
612,587
613,603
614,619
615,740
616,634
617,654
618,673
619,703
620,717
621,731
622,526
623,540
624,554
625,571
626,586
627,601
628,617
629,739
630,633
631,652
632,671
633,687
634,718
635,732
636,
637,
638,
639,
640,
641,
642,
643,
644,
645,
646,
647,
648,
649,733
650,524
651,538
652,552
653,569
654,584
655,599
656,614
657,735
658,629
659,645
660,664
661,681
662,699
663,716
664,516
665,515
666,
667,
667,1058
668,
669,1064
670,1065
671,
672,
673,
674,1059
674,
675,
675,1066
676,
676,1067
677,
677,1068
678,
678,1069
679,
680,
681,
682,
683,1078
684,
685,
686,
687,
688,356
689,430
690,
691,428
692,425
693,426
694,425
695,178
696,178
697,178
698,179
699,
700,
701,1398
702,81
703,82
704,1342
705,448
706,449
707,450
708,451
709,452
710,453
711,455
712,455
713,456
714,
715,
716,1366
717,1365
718,
719,65
720,66
721,216
722,498
722,497
723,496
724,300
725,302
726,301
727,1373
728,
729,411
730,6
731,218
732,219
733,220
734,220
735,1357
736,403
737,405
738,439
739,441
740,440
741,386
742,305
743,306
744,770
745,769
746,772
747,771
748,775
749,772
750,391
750,390
751,393
752,1053
752,1051
752,1045
752,1046
752,1054
752,1055
752,1052
752,1043
753,
754,1055
754,1045
754,1054
754,1046
754,1053
754,1043
754,1052
754,1051
755,247
756,370
757,369
758,371
759,372
759,374
759,373
760,1363
761,182
762,185
762,184
763,183
764,131
764,130
765,128
766,238
767,239
767,240
768,240
768,239
769,414
770,1389
771,
772,1389
773,86
774,87
775,88
776,803
777,802
778,799
779,801
780,804
781,833
781,829
782,832
783,831
784,830
785,828
786,819
786,816
787,818
788,821
789,820
790,817
791,825
792,824
793,822
794,826
795,823
796,810
796,815
797,812
798,814
799,813
800,811
801,805
802,807
803,808
804,809
805,806
806,782
807,787
807,785
808,787
808,785
809,784
810,787
811,783
812,786
813,788
814,387
814,388
815,
815,888
816,
816,880
817,882
817,
818,
818,881
819,884
819,881
