"tollbooth_id","direction","legacy_id","tollbooth_name","coords","status","strech_id","state","place","lines","type","highway","operator_2025","gate_to"
,,155,"El arenal tequila","20.854354276478155, -103.86093857355817","open",381,"jalisco","entronque",2,"toll","15D-tequila","Guadalajara-tepic",
,,155,"El arenal","20.77880582437672, -103.6624541764846","open",380,"jalisco","troncal",6,"toll","15D","Guadalajara-tepic",
,,156,"plan de barracas","20.9475192710524, -104.0629590236778","open",382,"jalisco","troncal",4,"toll","15D","Guadalajara-tepic",
,,581,"Amado Nervo","21.08905122568959, -104.71712291858833","open",390,"nayarit","troncal",3,"toll","70D","ocacsa",
,,581,"Amado Nervo","21.088907596279125, -104.71728724855063","open",391,"nayarit","troncal",3,"toll","70D","ocacsa",
,,581,"Amado Nervo",,"not_found",392,,"troncal",,,"200D","ocacsa",
,,446,"la cantera","21.4984932062581, -104.81339318530127","open",386,"nayarit","troncal",6,"toll","libramiento norte","Guadalajara-tepic",
,,407,"san blas","21.507309681661752, -105.20102818503696","open",387,"nayarit","troncal",3,"toll","76D","rco",
,,407,"san blas","21.507309681661752, -105.20102818503696","open",388,"nayarit","troncal",3,"toll",,"rco",
,,53,"Compostela","21.229471957714843, -104.88745147168034","open",389,"nayarit","troncal",4,"toll","68D","capufe",
,,157,"santa maria del oro","21.37419440266569, -104.70892364241206","open",383,"nayarit","troncal",8,"toll","15D","Guadalajara-tepic",
,,157,"santa maria del oro","21.327068295725205, -104.66478613578181","open",384,"nayarit","entronque",1,"toll","15D-15","Guadalajara-tepic",
,,157,"santa maria del oro","21.327068295725205, -104.66478613578181","open",385,"nayarit","entronque",1,"toll","15-15D","Guadalajara-tepic",
,,157,"santa maria del oro","21.32799628437043, -104.66320135768107","open",385,"nayarit","entronque",1,"toll","15D-15","Guadalajara-tepic",
,,157,"santa maria del oro","21.32799628437043, -104.66320135768107","open",384,"nayarit","entronque",1,"toll","15-15D","Guadalajara-tepic",
,,1048,"benito juarez-san blas","24.87712983589735, -107.65540724462751","open",1392,"sinaloa","entronque",1,"toll","1D-san blas","orler",
,,1048,"benito juarez-san blas","24.877674384700395, -107.65578946905174","open",1392,"sinaloa","entronque",1,"toll","vitaruto-1D","orler",
,,1048,"el pisal","24.83234345797897, -107.59759276457869","open",1392,"sinaloa","troncal",6,"toll",,"orler",
,,1048,"las brisas","25.394879066498863, -108.12987936058656","open",1392,"sinaloa","troncal",4,"toll",,"orler",
,,1048,"caimanero","24.954241450436875, -107.75827435109706","open",1392,"sinaloa","entronque",1,"toll",,"orler",
,,1048,"alhuey","25.39331025635012, -108.12706942358452","open",1392,"sinaloa","entronque",1,"toll",,"orler",
,,403,"trapichillo","21.571748191967007, -104.98744288122955","open",395,"nayarit","troncal",8,"toll","15D","Tepic-mazatlan",
,,582,"Compostela","21.20443708269734, -104.88636807996299","open",393,"nayarit","troncal",3,"toll","200D","ocacsa",
,,404,"trapichillo bis","21.56062066705083, -104.97105441327322","open",394,"nayarit","entronque",2,"toll","76D-15D","Tepic-mazatlan",
,,404,"trapichillo bis","21.562171828826678, -104.97045421874749","open",394,"nayarit","entronque",2,"toll","15D-76D","Tepic-mazatlan",
