id|tollbooth_name|operator_2025|gate_to|area_name
155|El arenal|Guadalajara-tepic||GUADALAJARA-TEPIC
156|plan de barracas|Guadalajara-tepic||GUADALAJARA-TEPIC
581|Amado Nervo|ocacsa||JALA-COMPOSTELA
446|la cantera|Guadalajara-tepic||LIBRAMIENTO TEPIC
407|san blas|rco||TEPIC-SAN BLAS
53|Compostela|capufe||CHAPALILLA-COMPOSTELA
157|santa maria del oro|Guadalajara-tepic||GUADALAJARA-TEPIC
407|benito juarez-san blas|orler||TEPIC-SAN BLAS
403|trapichillo|Tepic-mazatlan||TEPIC-MAZATLÁN
582|Compostela|ocacsa||JALA-COMPOSTELA
404|trapichillo bis|Tepic-mazatlan||TEPIC-MAZATLÁN
200|mesillas|capufe||DURANGO-MAZATLÁN
197|coscomate|capufe||DURANGO-MAZATLÁN
96|llano grande|capufe||DURANGO-MAZATLÁN
198|durango|capufe||DURANGO-MAZATLÁN
480|durango|acsa||DURANGO-YERBANIS
481|yerbanis|acsa||YERBANIS-GOMEZ PALACIO
482|cuencame|acsa||YERBANIS-GOMEZ PALACIO
483|león guzmán|acsa||YERBANIS-GOMEZ PALACIO
488|san pedro torreón|acsa||LIBRAMIENTO NORTE DE LA LAGUNA
163|la cuchilla|capufe||TORREON -SALTILLO
162|plan de ayala|capufe||TORREON -SALTILLO
160|bermejillo|capufe||GOMEZ PALACIO-CORRALITOS-AUTOPISTA UNION
161|ceballos|capufe||GOMEZ PALACIO-CORRALITOS-AUTOPISTA UNION
229|sacramento|c&g||LIBRAMIENTO ORIENTE DE CHIHUAHUA
228|jiménez|c&g||LIBRAMIENTO ORIENTE DE CHIHUAHUA
492|torreón|cams||MONTERREY-SALTILLO Y LIBRAMIENTO
491|ojo caliente|cams||MONTERREY-SALTILLO Y LIBRAMIENTO
490|periferico|cams||MONTERREY-SALTILLO Y LIBRAMIENTO
140|la carbonera|capufe||LIBRAMIENTO ORIENTE DE SALTILLO
141|los chorros|capufe||la carbonera-puerto mexico
142|huachichil|capufe||la carbonera-puerto mexico
421|libramiento matehuala|omega||LIBRAMIENTO MATEHUALA
499|lincon|reanal||periférico del área metropolitana de monterrey
452|apodaca|reanal||periférico del área metropolitana de monterrey
505|juárez|reanal||periférico del área metropolitana de monterrey
450|cadereyta|reanal||MONTERREY-CADEREYTA
451|guadalupe|reanal||MONTERREY-CADEREYTA
40|cadereyta|capufe|bridge|
586|Agujita-allende|supercarreteras||AGUJITA-ALLENDE
65|acuña|capufe|bridge|
108|sabinas|opan||MONTERREY-NUEVO LAREDO
109|agualeguas|opan||MONTERREY-NUEVO LAREDO
110|parás|opan||MONTERREY-NUEVO LAREDO
938|nuevo laredo|opan||MONTERREY-NUEVO LAREDO
131|doctor coss|opan||CADEREYTA-REYNOSA
128|general bravo|opan||CADEREYTA-REYNOSA
129|los herrera|opan||CADEREYTA-REYNOSA
130|los ramones|opan||CADEREYTA-REYNOSA
15|lucio blanco|opan||LIBRAMIENTO SUR II DE REYNOSA
194|san fernando|opan||LIBRAMIENTO SUR II DE REYNOSA
75|reynosa phar|opan|International-bridge|
171|ignacio zaragoza “los tomates”|opan|International-bridge|
170|nuevo progreso|opan||REYNOSA-MATAMOROS
74|Juárez-lincon|capufe|International-bridge|
31|miguel alemán|capufe|bridge|
48|san juan|capufe|bridge|
30|camargo|capufe|bridge|
37|reynosa|capufe|International-bridge|
47|las flores|capufe|bridge|
50|ojinaga|capufe|bridge|
20|matamoros|copa|bridge|
62|piedras negras|Hoatsa|bridge|
1023|piedras negras 2|Hoatsa|bridge|
419|libramiento de mexicalli|omega||LIBRAMIENTO MEXICALI
83|el hongo|capufe||LA RUMOROSA-TECATE
34|tijuana|capufe||TIJUANA-ENSENADA
35|rosarito|capufe||TIJUANA-ENSENADA
189|nodo popotla|capufe||TIJUANA-ENSENADA
415|tecate|Tijuana-tecate||TIJUANA-TECATE
418|paso del aguila|Tijuana-tecate||TIJUANA-TECATE
467|paso del aguila bis|Tijuana-tecate||TIJUANA-TECATE
417|dart|Tijuana-tecate||TIJUANA-TECATE
422|las esperanzas|Tijuana-tecate||TIJUANA-TECATE
36|ensenada|capufe||TIJUANA-ENSENADA
71|chalco|capufe||MEXICO-PUEBLA
7|san marcos|capufe||MEXICO-PUEBLA
926|ixtapaluca|capufe||MEXICO-PUEBLA
188|san barcos bis|capufe||MEXICO-PUEBLA
316|circuito exterior mexiquense|gana||circuito exterior mexiquense
8|san marti puebla|capufe||MEXICO-PUEBLA
69|jorobas|capufe||MEXICO-QUERETARO
939|nabor carrillo|Ecatepec-piramides||PIRÁMIDES-TEXCOCO
575|Tizatyca (ojo de agua)|Golfo-centro||MÉXICO-PACHUCA
576|entronque ojo de agua|Golfo-centro||MÉXICO-PACHUCA
914|texcoco|Desarrollo-global||PEÑON-TEXCOCO
196|ozumba|capufe|bypass|LIBRAMIENTO AMECAMECA-NEPANTLA
917|san martín texmelucan|pinfra||SAN MARTÍN TEXMELUCAN-TLAXCALA
558|el higueron|pinfra||JANTETELCO - EL HIGUERON
1001|atlixco|pinfra||Atlixco-jantetelco
1001|atlixco sur|pinfra||Atlixco-jantetelco
26|amozoc|capufe||PUEBLA-ACATZINGO
990|Amazoc-perote|gana||PUEBLA-ACATZINGO
594|mazapiltepec|ccp||CUAPIAXTLA-CUACNOPALAN
460|las vigas|copexa||PEROTE-BANDERILLA
461|miradores|copexa||LIBRAMIENTO XALAPA
457|antigua|Cardel-veracruz||CARDEL-VERACRUZ
458|san julián|Cardel-veracruz||SAN JULIÁN-VERACRUZ
459|plan del rio|cpm||LIBRAMIENTO PLAN DEL RIO
33|nautla|capufe|bridge|
179|las chopas|capufe||LAS CHOAPAS-OCOZOCOAUTLA
181|malpasito|capufe||LAS CHOAPAS-OCOZOCOAUTLA
182|OCOZOCOAUTLA (OCUILAPA)|capufe||LAS CHOAPAS-OCOZOCOAUTLA
929|chiapa de corzo viapass|cas||tuxtla gutierrez-san cristobal de las casas
930|arriaga viapass|cas||ARRIAGA - OCOZOCOAUTLA
931|coita viapass|cas||ARRIAGA - OCOZOCOAUTLA
932|jiquipilas|cas||ARRIAGA - OCOZOCOAUTLA
176|sánchez magallanes|capufe||AGUA DULCE-CARDENAS
227|nacajuca|oav||LIBRAMIENTO DE VILLAHERMOSA
38|grijalva|capufe|bridge|
39|usumacinta|capufe|bridge|
164|zacatal|capufe|bridge|
132|seybaplaya|capufe||Champoton-campeche
573|ecatepec (san cristobal)|Golfo-centro||MÉXICO-PACHUCA
574|revolución|Golfo-centro||MÉXICO-PACHUCA
904|ecatepec (pirámidesl)|Ecatepec-piramides||ECATEPEC-PIRÁMIDES
905|tepexpan|Ecatepec-piramides||ECATEPEC-PIRÁMIDES
928|Tezoyuca (589)|pinfra||PIRÁMIDES-TEXCOCO
913|peñón|pinfra||PEÑON-TEXCOCO
914|texcoco|pinfra||PEÑON-TEXCOCO
915|ent. Peñón|pinfra||PEÑON-TEXCOCO
577|tejocotal|Golfo-centro||libramiento tulancingo-nuevo necaxa
578|nuevo necaxa|Golfo-centro||libramiento tulancingo-nuevo necaxa
92|nuevo necaxa|capufe||libramiento tulancingo-nuevo necaxa
585|el piñal|auneti||AVILA CAMACHO - TIHUATLAN
584|miahuapan|auneti||AVILA CAMACHO - TIHUATLAN
579|Puente tuxpan|Golfo-centro||TIHUATLAN-TUXPAN
580|Puente tuxpan (tihuatlan)|Golfo-centro||TIHUATLAN-TUXPAN
556|naranjos|Autopista-tuxpan-tampico||TUXPAN- TAMPICO
464|los gil|Autopista-tuxpan-tampico||TUXPAN- TAMPICO
177|totomoxtle|Cardel-pozarica||TIHUATLAN-GUTIERREZ ZAMORA
555|totomoxtle II|Cardel-pozarica||TUXPAN-CARDEL
569|vega de alatorre|Cardel-pozarica||TUXPAN-CARDEL
43|tecolutla|capufe|bridge|
112|tampico|capufe|bypass|libramiento poniente tampico
49|puente nacional tampico|capufe|bridge|
14|puente nacional pánuco|capufe|bridge|Canoas-pánuco
4|tepotzotlan|capufe||MEXICO-QUERETARO
5|palmillas|capufe||MEXICO-QUERETARO
207|palmillas bis|capufe||MEXICO-QUERETARO
70|polotitlan|capufe||MEXICO-QUERETARO
6|querétaro|capufe||QUERETARO-IRAPUATO
61|libramiento sur poniente querétaro|capufe||QUERETARO-IRAPUATO
590|crespo|bicentenario|bypass|LIBRAMIENTO DE CELAYA
591|laja|bicentenario|bypass|LIBRAMIENTO DE CELAYA
592|san miguel|bicentenario|bypass|LIBRAMIENTO DE CELAYA
183|villagran|capufe||QUERETARO-IRAPUATO
185|cerro gordo|capufe||QUERETARO-IRAPUATO
41|salamanca|capufe||QUERETARO-IRAPUATO
564|arandas|Libramiento-irapuato|bypass|LIBRAMIENTO NORPONIENTE DE IRAPUATO
563|yostiro|Libramiento-irapuato|bypass|LIBRAMIENTO NORPONIENTE DE IRAPUATO
550|mendoza|gma||SALAMANCA-LEON
551|puerto interior|gma||SALAMANCA-LEON
350|silao|gma||GUANAJUATO-SILAO
351|cervera|ovi||GUANAJUATO-SILAO
314|aguas buenas|gma||LIBRAMIENTO SILAO
120|león|rco||LEÓN-AGUASCALIENTES
123|encarnación de díaz|rco||LEÓN-AGUASCALIENTES
583|chichimeco|ops||LIBRAMIENTO AGUASCALIENTES
87|zacatecas|capufe||CD. CUAUHTEMOC-OSIRIS
114|jalostotitlan|rco||ZAPOTLANEJO-LAGOS DE MORENO
113|tepatitlan|rco||ZAPOTLANEJO-LAGOS DE MORENO
199|lagos de moreno|capufe||LAGOS DE MORENO-SAN LUIS POTOSÍ
454|Ventura-el peyote|libramientoslp||VENTURA-EL PEYOTE
426|libramiento arco norte san luis potosi|libramientoslp|bypass|libramiento arco norte san luis potosi
504|libramiento poniente san luis potosi|libramientoslp|bypass|LIBRAMIENTO PONIENTE SAN LUIS POTOSI
425|libramiento oriente san luis potosi|libramientoslp|bypass|LIBRAMIENTO ORIENTE SAN LUIS POTOSI
127|chichimequillas|capufe|bypass|libramiento noreste queretaro
486|cerritos|coinsan||LIBRAMIENTO NORESTE QUERETARO
498|cemosa (rioverde-cemosa-rioverde)|coinsan||SAN LUIS POTOSÍ-RIOVERDE
493|la calera|opasa|bypass|LIBRAMIENTO CIUDAD VALLES-TAMUÍN
909|santa fe|pinfra||MÉXICO-LA MARQUESA
908|marquesa|pinfra||MÉXICO-LA MARQUESA
934|marquesa t2|pinfra||MÉXICO-LA MARQUESA
835|la finca|omc||TENANGO - IXTAPAN
836|villa guerrero|omc||TENANGO - IXTAPAN
837|tenango|omc||TENANGO - IXTAPAN
470|chapultepec|Lerma-santiago||LERMA-SANTIAGO
471|rayón|Lerma-santiago||LERMA-SANTIAGO
416|xonacatlan|Libramiento-toluca||LIBRAMIENTO TOLUCA
532|la hortaliza|acomex||TOLUCA-ZITACUARO
531|valle de bravo|acomex||TOLUCA-ZITACUARO
530|amanalco|acomex||TOLUCA-ZITACUARO
489|monumento|acomex||TOLUCA-ZITACUARO
940|zitacuaro|acomex||ZITACUARO-LENGUA DE VACA
444|el dorado|ideal||TOLUCA-ATLACOMULCO
445|atlacomulco sur|ideal||TOLUCA-ATLACOMULCO
448|atlacomulco|Mexico-michoacan||ATLACOMULCO-MARAVATIO
449|contepec|Mexico-michoacan||ATLACOMULCO-MARAVATIO
144|zinapecuaro|rco||MARAVATIO-ZAPOTLANEJO
145|panindicuaro|rco||MARAVATIO-ZAPOTLANEJO
146|ecuandureo|rco||MARAVATIO-ZAPOTLANEJO
328|zamora|rco||ECUANDUREO-LA BARCA
147|ocotlan|rco||MARAVATIO-ZAPOTLANEJO
42|la piedad|capufe|bridge|
463|libramiento la piedad|lipsa||LIBRAMIENTO LA PIEDAD
941|Morelia-aeropuerto1|pinfra||MORELIA-AEROPUERTO
942|Morelia-aeropuerto2|pinfra||MORELIA-AEROPUERTO
933|capula (cuto)|Autopistas-michoacan||LIBRAMIENTO MORELIA
927|chapultepec morelia|Autopistas-michoacan||LIBRAMIENTO MORELIA
911|zirahuen|Autopistas-michoacan||PATZCUARO-URUAPAN
910|auxiliar zirahuen|Autopistas-michoacan||PATZCUARO-URUAPAN
912|san ángel zurumicapio|Autopistas-michoacan||PATZCUARO-URUAPAN
925|taretan|Autopistas-michoacan||URUAPAN-NUEVA ITALIA
924|santa casilda|Autopistas-michoacan||URUAPAN-NUEVA ITALIA
920|las cañas|Autopistas-michoacan||NUEVA ITALIA - LÁZARO CÁRDENAS
919|feliciano|Autopistas-michoacan||NUEVA ITALIA - LÁZARO CÁRDENAS
1|tlalpan|capufe||Mexico-cuernavaca
195|tres marías|capufe||Mexico-cuernavaca
224|tepoztlán bis|capufe||la pera a – cuautla a
24|tepoztlán|capufe||la pera a – cuautla a
25|oacalco|capufe||la pera a – cuautla a
465|oaxtepec|capufe||la pera a – cuautla a
107|emiliano zapata (central de abastos)|capufe||Cuernavaca-acapulco
106|aeropuerto|capufe||Cuernavaca-acapulco
105|xochitepec|capufe||Cuernavaca-acapulco
184|Ing. francisco velazco durán|capufe||Cuernavaca-acapulco
101|alpuyeca|capufe||Cuernavaca-acapulco
102|paso morelos|capufe||Cuernavaca-acapulco
103|palo blanco|capufe||Cuernavaca-acapulco
104|la venta|capufe||Cuernavaca-acapulco
223|la venta bis|capufe||libramiento poniente de acapulco
56|zacapalco|capufe||Zacapalco-rancho viejo
99|taxco|capufe||rancho viejo-taxco
3|iguala|capufe||puente de ixtla-iguala
423|las cruces (maxitunel)|atuca|tunnel|
429|cayaco (macrotunel)|macrotuca|tunnel|
420|libramiento tecpan|omega||LIBRAMIENTO TECPAN
159|zapotlanejo|rco||ZAPOTLANEJO-GUADALAJARA
447|macrolibramiento|rco||LIBRAMIENTO SUR DE GUADALAJARA
447|la laja|Guadalajara-tepic||LIBRAMIENTO SUR DE GUADALAJARA
325|chapala|Guadalajara-tepic||LIBRAMIENTO SUR DE GUADALAJARA
405|santa cecilia|Guadalajara-tepic||LIBRAMIENTO SUR DE GUADALAJARA
57|acatlan II|Autopistas-sayula||GUADALAJARA-COLIMA
58|sayula|Autopistas-sayula||GUADALAJARA-COLIMA
59|sayula remota|Autopistas-sayula||GUADALAJARA-COLIMA
60|san marcos II|Autopistas-sayula||GUADALAJARA-COLIMA
901|armería|pinfra||GUADALAJARA-COLIMA
409|yago|Mazatlan-culiacan||TEPIC-MAZATLÁN
401|estación ruiz|Mazatlan-culiacan||TEPIC-MAZATLÁN
402|acaponeta|Mazatlan-culiacan||TEPIC-MAZATLÁN
400|El rosario|Mazatlan-culiacan||TEPIC-MAZATLÁN
604|vainillo|Mazatlan-culiacan||LIBRAMIENTO MAZATLÁN
124|mármol|Mazatlan-culiacan||MAZATLÁN-CULIACAN
601|costa rica|Mazatlan-culiacan||MAZATLÁN-CULIACAN
408|quila|Mazatlan-culiacan||MAZATLÁN-CULIACAN
603|san pedro|Mazatlan-culiacan||LIBRAMIENTO CULIACAN
10|puente nacional culiacan|capufe|bridge|
11|puente nacional sinaloa|capufe|bridge|
557|esperanza hornos|lico||libramiento ciudad obregon
150|esperanza|capufe||ESTACION DON - NOGALES
148|estación don|capufe||ESTACION DON - NOGALES
149|fundición|capufe||ESTACION DON - NOGALES
151|guaymas|capufe||ESTACION DON - NOGALES
152|hermosillo|capufe||ESTACION DON - NOGALES
153|magdalena|capufe||ESTACION DON - NOGALES
559|sahuaripa|libramientohermosillo|bypass|LIBRAMIENTO HERMOSILLO
443|atlacomulco|arconorte||AUTOPISTA ARCO NORTE
442|acambay|arconorte||AUTOPISTA ARCO NORTE
441|jilotepec|arconorte||AUTOPISTA ARCO NORTE
440|Queretaro-arco norte|arconorte||AUTOPISTA ARCO NORTE
439|tula II|arconorte||AUTOPISTA ARCO NORTE
438|tula I|arconorte||AUTOPISTA ARCO NORTE
437|atitalaquia|arconorte||AUTOPISTA ARCO NORTE
436|ajoloapan|arconorte||AUTOPISTA ARCO NORTE
435|pachuca|arconorte||AUTOPISTA ARCO NORTE
434|tulancingo|arconorte||AUTOPISTA ARCO NORTE
433|shagún|arconorte||AUTOPISTA ARCO NORTE
432|calpulalpan|arconorte||AUTOPISTA ARCO NORTE
431|sanctorum|arconorte||AUTOPISTA ARCO NORTE
430|san martín texmelucan|arconorte||AUTOPISTA ARCO NORTE
462|apaxco|arconorte||AUTOPISTA ARCO NORTE
466|liverpool|arconorte||AUTOPISTA ARCO NORTE
568|chamapa|autovan||TOLUCA-NAUCALPAN
566|san nicolas|autovan||TOLUCA-NAUCALPAN
567|ayotuxco|autovan||TOLUCA-NAUCALPAN
565|cerrillo|autovan||TOLUCA-NAUCALPAN
86|san josé del cabo|capufe||AEROPUERTO LOS CABOS-SAN JOSE DEL CABO-CABO SAN LUCAS
330|aeropuerto de los cabos|capufe||AEROPUERTO LOS CABOS-SAN JOSE DEL CABO-CABO SAN LUCAS
332|san lucas|capufe||AEROPUERTO LOS CABOS-SAN JOSE DEL CABO-CABO SAN LUCAS
334|el mangle|capufe||AEROPUERTO LOS CABOS-SAN JOSE DEL CABO-CABO SAN LUCAS
473|rayón|Rioverde-valles||RIO VERDE-CIUDAD VALLES
474|tamasopo|Rioverde-valles||RIO VERDE-CIUDAD VALLES
475|tambaca|Rioverde-valles||RIO VERDE-CIUDAD VALLES
476|la pitahaya|Rioverde-valles||RIO VERDE-CIUDAD VALLES
825|libramiento elevado de puebla|lep|bypass|LIBRAMIENTO ELEVADO DE PUEBLA
317|atlacomulco|macrolibramiento-queretaro|bypass|MACROLIBRAMIENTO DE QUERÉTARO
318|apaseo el grande|macrolibramiento-queretaro|bypass|MACROLIBRAMIENTO DE QUERÉTARO
319|apaseo el alto|macrolibramiento-queretaro|bypass|MACROLIBRAMIENTO DE QUERÉTARO
320|coroneo|macrolibramiento-queretaro|bypass|MACROLIBRAMIENTO DE QUERÉTARO
321|huimilpan|macrolibramiento-queretaro|bypass|MACROLIBRAMIENTO DE QUERÉTARO
322|amealco I|macrolibramiento-queretaro|bypass|MACROLIBRAMIENTO DE QUERÉTARO
323|apaseo|macrolibramiento-queretaro|bypass|MACROLIBRAMIENTO DE QUERÉTARO
572|Mexico-pachuca|anesa||MACROLIBRAMIENTO MEXIQUENSE
399|ent. Gran canal|anesa||MACROLIBRAMIENTO MEXIQUENSE
588|Ent. indios verdes|anesa||MACROLIBRAMIENTO MEXIQUENSE
1045|cien metros|anesa||MACROLIBRAMIENTO MEXIQUENSE
|vallejo|anesa||MACROLIBRAMIENTO MEXIQUENSE
|ceylan|anesa||MACROLIBRAMIENTO MEXIQUENSE
|puente de vigas|anesa||MACROLIBRAMIENTO MEXIQUENSE
487|calderon (villa de arriaga)|coinsan||SAN LUIS POTOSÍ - VILLA DE ARRIAGA
495|san felipe|coinsan||SAN LUIS POTOSÍ - VILLA DE ARRIAGA
497|logistik|coinsan||SAN LUIS POTOSÍ - VILLA DE ARRIAGA
496|wtc II|coinsan||SAN LUIS POTOSÍ - VILLA DE ARRIAGA
478|chichen itza (valladolid)|mayab||MÉRIDA-CANCÚN
479|tintal (playa del carmen)|mayab||MÉRIDA-CANCÚN
139|cuautitlán (lecheria)|capufe||LA VENTA-CHAMAPA-LECHERIA
311|san miguel|||LA VENTA-CHAMAPA-LECHERIA
138|lago de guadalupe|capufe||LA VENTA-CHAMAPA-LECHERIA
137|atizapan|capufe||LA VENTA-CHAMAPA-LECHERIA
136|madin|capufe||LA VENTA-CHAMAPA-LECHERIA
700|lomas verdes|capufe||LA VENTA-CHAMAPA-LECHERIA
135|nopala|capufe||LA VENTA-CHAMAPA-LECHERIA
134|cipreses|capufe||LA VENTA-CHAMAPA-LECHERIA
133|chamapa capufe|capufe||LA VENTA-CHAMAPA-LECHERIA
413|chamapa inbursa|Chamapa-laventa||LA VENTA-CHAMAPA-LECHERIA
414|bosque real|Chamapa-laventa||LA VENTA-CHAMAPA-LECHERIA
412|huixquilucan|Chamapa-laventa||LA VENTA-CHAMAPA-LECHERIA
411|interlomas|Chamapa-laventa||LA VENTA-CHAMAPA-LECHERIA
410|la venta|Chamapa-laventa||LA VENTA-CHAMAPA-LECHERIA
406|la peñita|Lasvaras-vallarta||LAS VARAS VALLARTA
520|bucerías|Lasvaras-vallarta||LAS VARAS VALLARTA
521|bucerías|Lasvaras-vallarta||LAS VARAS VALLARTA
468|vallarta|Lasvaras-vallarta||LAS VARAS VALLARTA
469|florida|Lasvaras-vallarta||LAS VARAS VALLARTA
510|valtierrilla|camssa||MORELIA-SALAMANCA
511|valtierrilla|camssa||MORELIA-SALAMANCA
512|valle de santiago|camssa||MORELIA-SALAMANCA
513|uriangato|camssa||MORELIA-SALAMANCA
514|Cinta-compandaro|camssa||MORELIA-SALAMANCA
515|la cinta|camssa||MORELIA-SALAMANCA
516|cuitzeo|camssa||MORELIA-SALAMANCA
517|la cinta|camssa||MORELIA-SALAMANCA
1002|vía atlixcayotl|ccp||Puebla-atlixco
1005|santa ana|ccp||santa ana-altar
1003|san luis rio colorado II|capufe|bridge|San luis rio colorado II
1020|San luis rio colorado|Puente-colorado|bridge|Mexicali-san luis rio colorado
1021|estacion doctor|pinfra||san luis rio colorado-santa clara
1019|nogales|Vias-norte||libramiento de nogales
1006|villa ahumada|Gob-chihuahua||
1015|galeana|Gob-chihuahua||
1012|ojo laguna|Gob-chihuahua||
1013|cuahutémoc|Gob-chihuahua||
1011|sacramento|Gob-chihuahua||LIBRAMIENTO ORIENTE DE CHIHUAHUA
1008|saucillo|Gob-chihuahua||
1009|camargo|Gob-chihuahua||
1010|jiménez|Gob-chihuahua||LIBRAMIENTO ORIENTE DE CHIHUAHUA
1014|savalza|Gob-chihuahua||Jiménez-torreón
1016|jerónimo|Gob-chihuahua||libramiento samalayuca-san jerónimo
1017|ojinaga|Gob-chihuahua||
|cuyutlan|zonalta||Armería-manzanillo
|michac|pinfra||Apizaco-huauchinango
937|huejotzingo|cap||san martín-huejotzingo
1018|zacatelco|pinfra||Tlaxcala-puebla
1018|zacatelco II|pinfra||Tlaxcala-puebla
428|allende|Tunel-coatzacoalcos|tunnel|
212|mitla|mitlatehuantepec||Mitla-tehuantepec
89|tehuantepec|capufe||SALINA CRUZ-LA VENTOSA
90|ixtepec|capufe||SALINA CRUZ-LA VENTOSA
22|alvarado|capufe|bridge|
63|tlacotalpan|capufe|bridge|Alvarado-cosamaloapan
29|caracol|capufe|bridge|
28|papaloapan|capufe|bridge|
67|dovali|capufe|bridge|
27|esperanza|capufe||ACATZINGO-CD. MENDOZA
116|cuitlahuac|capufe||Cordoba-veracruz
117|paso del toro|capufe||Cordoba-veracruz
76|tehuacan|capufe||TEHUACAN-OAXACA
77|miahuatlan|capufe||TEHUACAN-OAXACA
78|suchixtlahuaca|capufe||TEHUACAN-OAXACA
79|huitzo|capufe||TEHUACAN-OAXACA
225|barranca larga|capufe||BARRANCA LARGA-VENTANILLA
226|ventanilla|capufe||BARRANCA LARGA-VENTANILLA
118|cosamaloapan|capufe||la tinaja-cosoleacaque
119|acayucan (sayula)|capufe||la tinaja-cosoleacaque
99|Refinería lazaro cárdenas|capufe||Minatitlán-mundo nuevo
60|rodolfo robles|capufe|International-bridge|chiapas
85|suchiate II|capufe|International-bridge|chiapas
1022|puente colombia|Gob-nuevo leon|International-bridge|nuevo león
1023|puente anzalduas|consecionaria internacional anzalduas s.a de c.v|International-bridge|tamaulipas
1024|puente coatzacoalcos|capufe|bridge|veracruz
