"stretch_id","motorbike","car","car_axle","bus_2_axle","bus_3_axle","bus_4_axle","truck_2_axle","truck_3_axle","truck_4_axle","truck_5_axle","truck_6_axle","truck_7_axle","truck_8_axle","truck_9_axle","truck_10_axle","load_axle","motorbike_axle","car_rush_hour","car_evening_hour","pedestrian","residente","autopista","tramo","stretch_name","road_name","match_score","filename"
1,13,26,13,52,52,52,50,50,81,81,127,127,127,127,,25,,,,,,"MEXICO-PUEBLA - CHALCO MEXICO-CHALCO",,"Mexico-chalco","mexico-puebla",0.857,"tarifas_capufe.csv"
2,13,26,13,52,52,52,50,50,81,81,127,127,127,127,,25,,,,,,"MEXICO-PUEBLA - IXTAPALUCA CHALCO-MEXICO",,"Chalco-mexico","mexico-puebla",0.806,"tarifas_capufe.csv"
3,86,173,87,350,350,350,335,335,688,688,943,943,943,943,,168,,,,,,"MEXICO-PUEBLA - SAN MARCOS MEXICO-SAN MARTIN TEXMELUCAN",,"Mexico-san martin texmelucan","mexico-puebla",0.866,"tarifas_capufe.csv"
720,299,599,306,1160,1160,,1160,1160,1160,1772,1772,2632,2632,2632,,584,,,,,,"Autopista Arco Norte","martín texmelucan (ent. méx.-puebla) - acambay","san martin texmelucan-puebla","mexico-puebla",0.604,"tarifas_arconorte.csv"
728,191,383,195,722,722,,722,722,722,1091,1091,1599,1599,1599,,364,,,,,,"Autopista Arco Norte","martín texmelucan (ent. méx.-puebla) - apaxco","san martin texmelucan-puebla","mexico-puebla",0.611,"tarifas_arconorte.csv"
731,102,205,105,370,370,,370,370,370,571,571,797,797,797,,187,,,,,,"Autopista Arco Norte","martín texmelucan (ent. méx.-puebla) - cd. sahagun","san martin texmelucan-puebla","mexico-puebla",0.586,"tarifas_arconorte.csv"
725,208,416,213,808,808,,808,808,808,1252,1252,1830,1830,1830,,408,,,,,,"Autopista Arco Norte","martín texmelucan (ent. méx.-puebla) - tula i","san martin texmelucan-puebla","mexico-puebla",0.611,"tarifas_arconorte.csv"
724,225,450,230,872,872,,872,872,872,1333,1333,1951,1951,1951,,440,,,,,,"Autopista Arco Norte","martín texmelucan (ent. méx.-puebla) - tula ii","san martin texmelucan-puebla","mexico-puebla",0.604,"tarifas_arconorte.csv"
4,26,53,27,137,137,137,129,129,261,261,366,366,366,366,,65,,,,,,"MEXICO-PUEBLA - SAN MARTIN SAN MARTIN TEXMELUCAN-PUEBLA",,"san martin texmelucan-puebla","mexico-puebla",0.866,"tarifas_capufe.csv"
5,15,30,15,53,53,53,52,52,82,82,128,128,128,128,,26,,,,,,"MEXICO-PUEBLA - SAN MARCOS BIS MEXICO-CIRCUITO EXTERIOR MEXIQUENSE",,"Mexico-circuito exterior mexiquense","mexico-puebla",0.852,"tarifas_capufe.csv"
6,33,66,33,110,110,110,110,110,110,150,150,210,210,210,,55,,,,,,"DURANGO-MAZATLÁN - LIBRAMIENTO AMECAMECA-NEPANTLA",,"LIBRAMIENTO AMECAMECA-NEPANTLA","libramiento amecameca-nepantla",0.745,"tarifas_capufe.csv"
7,50,100,,194,194,194,194,230,230,353,353,472,472,472,,,,,,,,"San Martin Texmelucan - Tlaxcala","san martin texmelucan - san martín-tlaxcala","SAN MARTÍN TEXMELUCAN-TLAXCALA","san martín texmelucan-tlaxcala",0.891,"tarifas_viapass.csv"
8,122,244,,513,513,513,513,513,513,837,837,1024,1024,1024,,,,,,,,"Jantetelco - El Higueron","el higueron - el higuerón - jantetelco","JANTETELCO - EL HIGUERON","autopista siglo xxi (jantetelco-el higuerton)",0.661,"tarifas_viapass.csv"
9,65,130,,274,274,274,274,274,274,447,447,545,545,545,,,,,,,,"Jantetelco - El Higueron","el higueron - el higuerón - san rafael","JANTETELCO - EL HIGUERON","autopista siglo xxi (jantetelco-el higuerton)",0.661,"tarifas_viapass.csv"
10,57,114,,239,239,239,239,239,239,392,392,478,478,478,,,,,,,,"Jantetelco - El Higueron","el higueron - san rafael - jantetelco","Jantetelco-cuautla","autopista siglo xxi (jantetelco-el higuerton)",0.579,"tarifas_viapass.csv"
11,47,94,47,196,196,196,187,187,360,360,480,480,480,480,,94,,,,,,"PUEBLA-ACATZINGO - AMOZOC (D) PUEBLA-ACATZINGO",,"PUEBLA-ACATZINGO","puebla-acatzingo",0.857,"tarifas_capufe.csv"
12,24,48,24,99,99,99,95,95,180,180,252,252,252,252,,48,,,,,,"PUEBLA-ACATZINGO - AMOZOC ( I ) PUEBLA-AMOZOC",,"PUEBLA-Amozoc","puebla-acatzingo",0.845,"tarifas_capufe.csv"
13,8,16,8,37,37,37,36,36,64,64,82,82,82,82,,18,,,,,,"PUEBLA-ACATZINGO - ENT. AMOZOC III PUEBLA-ENT. (AMOZOC-PEROTE)",,"Puebla-ent. Amozoc III","puebla-acatzingo",0.708,"tarifas_capufe.csv"
14,78,155,78,309,309,309,309,309,309,559,559,887,887,887,,,,,,,,"Autopista Cuapiaxtla-Cuacnopalan","cuapiaxtla – cuacnopalan","CUAPIAXTLA-CUACNOPALAN","Cuapiaxtla-cuacnopalan",0.978,"tarifas_autopistacuapiaxtlacuacnopalan.csv"
15,48,97,48,193,193,193,193,193,193,348,348,553,553,553,,,,,,,,"Autopista Cuapiaxtla-Cuacnopalan","el seco – cuacnopalan","el seco-cuacnopalan","Cuapiaxtla-cuacnopalan",0.977,"tarifas_autopistacuapiaxtlacuacnopalan.csv"
16,29,59,29,117,117,117,117,117,117,211,211,335,335,335,,,,,,,,"Autopista Cuapiaxtla-Cuacnopalan","cuapiaxtla – el seco","Cuapiaxtla-el seco","Cuapiaxtla-cuacnopalan",0.976,"tarifas_autopistacuapiaxtlacuacnopalan.csv"
17,89,178,89,409,409,409,386,386,745,745,1085,1085,1085,1085,,193,,,,,,"ACATZINGO-CD. MENDOZA - ESPERANZA (D) ACATZINGO-CD. MENDOZA",,"Esperanza-cd mendoza (A)","acatzingo-cd. mendoza",0.837,"tarifas_capufe.csv"
18,47,94,47,204,204,204,202,202,372,372,543,543,543,543,,101,,,,,,"ACATZINGO-CD. MENDOZA - ESPERANZA (I2) ESPERANZA-CD. MENDOZA",,"Esperanza-cd mendoza (A)","acatzingo-cd. mendoza",0.828,"tarifas_capufe.csv"
19,47,94,47,204,204,204,202,202,372,372,543,543,543,543,,101,,,,,,"ACATZINGO-CD. MENDOZA - ESPERANZA (I1) ACATZINGO-ESPERANZA",,"ACATZINGO-esperanza","acatzingo-cd. mendoza",0.842,"tarifas_capufe.csv"
,11,23,10,32,32,32,32,45,45,64,64,75,,75,,16,,,,,,"Autopista Tijuana – Tecate","intersección esperanza","ACATZINGO-esperanza","acatzingo-cd. mendoza",0.532,"tarifas_tijuanatecate.csv"
20,73,146,73,208,208,208,195,195,195,278,278,292,292,292,,98,,,,,,"CORDOBA-VERACRUZ - CUITLAHUAC (D) CORDOBA-LA TINAJA",,"Cuitlahuac-la tinaja","cordoba-veracruz",0.86,"tarifas_capufe.csv"
21,50,100,50,144,144,144,132,132,132,184,184,181,181,181,,66,,,,,,"CORDOBA-VERACRUZ - CUITLAHUAC (I2) CUITLAHUAC-LA TINAJA",,"Cuitlahuac-la tinaja","cordoba-veracruz",0.822,"tarifas_capufe.csv"
22,25,51,26,64,64,64,62,62,62,93,93,90,90,90,,31,,,,,,"CORDOBA-VERACRUZ - CUITLAHUAC (I1) CORDOBA-CUITLAHUAC",,"Cordoba-cuitlahuac","cordoba-veracruz",0.814,"tarifas_capufe.csv"
24,55,111,56,183,183,183,181,181,181,243,243,277,277,277,,91,,,,,,"CORDOBA-VERACRUZ - PASO DEL TORO (I1) LA TINAJA-PASO DEL TORO",,"la tinaja-paso del toro","cordoba-veracruz",0.808,"tarifas_capufe.csv"
23,68,136,68,226,226,226,223,223,223,288,288,336,336,336,,112,,,,,,"CORDOBA-VERACRUZ - PASO DEL TORO (D) LA TINAJA-VERACRUZ",,"paso del toro-veracruz","cordoba-veracruz",0.848,"tarifas_capufe.csv"
25,10,21,11,43,43,43,39,39,39,47,47,53,53,53,,20,,,,,,"CORDOBA-VERACRUZ - PASO DEL TORO (I2) PASO DEL TORO-VERACRUZ",,"paso del toro-veracruz","cordoba-veracruz",0.804,"tarifas_capufe.csv"
26,29,58,29,138,138,138,136,136,170,170,266,266,266,266,,68,,,,,,"TEHUACAN-OAXACA - TEHUACAN CUACNOPALAN-TEHUACAN",,"Cuacnopalan-tehuacán","cuacnopalan-oaxaca",0.767,"tarifas_capufe.csv"
27,21,42,21,71,71,71,70,70,99,99,146,146,146,146,,35,,,,,,"TEHUACAN-OAXACA - MIAHUATLAN TEHUACAN-MIAHUATLAN",,"Tehuacán-miahuatlán","cuacnopalan-oaxaca",0.744,"tarifas_capufe.csv"
28,49,99,50,218,218,218,217,217,264,264,368,368,368,368,,109,,,,,,"TEHUACAN-OAXACA - SUCHIXTLAHUACA (D) MIAHUATLAN-NOCHIXTLAN",,"Miahuatlán-nochixtlán","cuacnopalan-oaxaca",0.708,"tarifas_capufe.csv"
29,24,48,24,111,111,111,106,106,127,127,183,183,183,183,,53,,,,,,"TEHUACAN-OAXACA - SUCHIXTLAHUACA ( I ) MIAHUATLAN-COIXTLAHUACA",,"Miahuatlán-coixtlahuaca","cuacnopalan-oaxaca",0.72,"tarifas_capufe.csv"
30,57,114,57,275,275,275,274,274,319,319,497,497,497,497,,137,,,,,,"TEHUACAN-OAXACA - HUITZO DIRECTA (D) NOCHIXTLAN-OAXACA",,"Nochixtlán-oaxaca","cuacnopalan-oaxaca",0.682,"tarifas_capufe.csv"
31,49,98,49,204,204,204,208,208,264,264,330,330,330,330,,104,,,,,,"TEHUACAN-OAXACA - HUITZO INTERMEDIA (I1) NOCHIXTLAN-HUITZO",,"Nochixtlán-huitzo","cuacnopalan-oaxaca",0.652,"tarifas_capufe.csv"
32,19,38,19,65,65,65,64,64,93,93,129,129,129,129,,32,,,,,,"TEHUACAN-OAXACA - HUITZO BIS (I2) HUITZO-OAXACA",,"Huitzo-oaxaca","cuacnopalan-oaxaca",0.675,"tarifas_capufe.csv"
33,122,245,123,490,490,490,490,490,490,734,734,1102,1102,1102,,245,,,,,,"BARRANCA LARGA - VENTANILLA - BARRANCA LARGA (D) OAXACA - VENTANILLA",,"BARRANCA LARGA-VENTANILLA","barranca larga-ventanilla",0.872,"tarifas_capufe.csv"
34,122,245,123,490,490,490,490,490,490,734,734,1102,1102,1102,,245,,,,,,"BARRANCA LARGA - VENTANILLA - VENTANILLA (D) VENTANILLA - PUERTO ESCONDIDO",,"BARRANCA LARGA-VENTANILLA","barranca larga-ventanilla",0.65,"tarifas_capufe.csv"
36,120,240,120,360,360,360,362,362,362,454,454,453,453,453,,181,,,,,,"LA TINAJA-COSOLEACAQUE - COSAMALOAPAN (I1) LA TINAJA-COSAMALOAPAN",,"la tinaja-cosamaloapan","la tinaja-cosoleacaque",0.833,"tarifas_capufe.csv"
35,145,290,145,457,457,457,381,381,381,561,561,647,647,647,,191,,,,,,"LA TINAJA-COSOLEACAQUE - COSAMALOAPAN (D) LA TINAJA-ISLA",,"Cosamaloapan-isla","la tinaja-cosoleacaque",0.851,"tarifas_capufe.csv"
37,24,49,25,99,99,99,95,95,95,106,106,101,101,101,,48,,,,,,"LA TINAJA-COSOLEACAQUE - COSAMALOAPAN (I2) COSAMALOAPAN-ISLA",,"Cosamaloapan-isla","la tinaja-cosoleacaque",0.816,"tarifas_capufe.csv"
39,87,175,88,252,252,252,246,246,246,319,319,306,306,306,,123,,,,,,"LA TINAJA-COSOLEACAQUE - ACAYUCAN (SAYULA) (I1) ISLA-ACAYUCAN",,"Isla-acayucan","la tinaja-cosoleacaque",0.774,"tarifas_capufe.csv"
38,135,270,135,413,413,413,351,351,351,543,543,596,596,596,,176,,,,,,"LA TINAJA-COSOLEACAQUE - ACAYUCAN (SAYULA) (D) ISLA-COSOLEACAQUE",,"Acayucan-cosoleacaque","la tinaja-cosoleacaque",0.846,"tarifas_capufe.csv"
40,50,100,50,162,162,162,161,161,161,225,225,197,197,197,,81,,,,,,"LA TINAJA-COSOLEACAQUE - ACAYUCAN (SAYULA) (I2) ACAYUCAN-COSOLEACAQUE",,"Acayucan-cosoleacaque","la tinaja-cosoleacaque",0.807,"tarifas_capufe.csv"
41,25,51,25,90,90,90,90,90,182,182,264,264,264,264,,45,,,,,,"Túnel Coatzacoalcos","coatzacoalcos - allende","TÚNEL COATZACOALCOS","TÚNEL COATZACOALCOS",0.805,"tarifas_tunelcoatzacoalcos.csv"
43,75,151,256,420,420,420,442,442,442,696,696,827,827,827,,221,,,,,,"Autopista Mitla-Tehuantepec","ent. mitla-lachixila","Mitla-lachixitla","mitla-tehuantepec",0.93,"tarifas_autopistamitlatehuantepec.csv"
42,83,166,279,452,452,452,475,475,475,748,748,889,889,889,,238,,,,,,"Autopista Mitla-Tehuantepec","mitla-lachixila","Mitla-lachixitla","mitla-tehuantepec",0.985,"tarifas_autopistamitlatehuantepec.csv"
44,70,141,216,301,301,301,316,316,316,499,499,592,592,592,,158,,,,,,"Autopista Mitla-Tehuantepec","lachixila-ent. tehuantepec ii","LACHIXILA-ENT. TEHUANTEPEC II","mitla-tehuantepec",1,"tarifas_autopistamitlatehuantepec.csv"
45,24,49,25,103,103,103,99,99,143,143,179,179,179,179,,50,,,,,,"SALINA CRUZ-LA VENTOSA - TEHUANTEPEC (D) SALINA CRUZ-TEHUANTEPEC",,"salina cruz-tehuantepec","salina cruz-la ventosa",0.852,"tarifas_capufe.csv"
46,50,100,50,196,196,196,194,194,281,281,360,360,360,360,,97,,,,,,"SALINA CRUZ-LA VENTOSA - IXTEPEC (D) TEHUANTEPEC-LA VENTOSA",,"Tehuantepec-la ventosa","salina cruz-la ventosa",0.882,"tarifas_capufe.csv"
47,25,50,25,103,103,103,99,99,144,144,180,180,180,180,,50,,,,,,"SALINA CRUZ-LA VENTOSA - IXTEPEC (I1) TEHUANTEPEC-IXTEPEC",,"Tehuantepec-ixtepec","salina cruz-la ventosa",0.866,"tarifas_capufe.csv"
48,24,49,25,103,103,103,99,99,144,144,161,161,161,161,,50,,,,,,"SALINA CRUZ-LA VENTOSA - IXTEPEC (I2) IXTEPEC-LA VENTOSA",,"Ixtepec-la ventosa","salina cruz-la ventosa",0.863,"tarifas_capufe.csv"
,3,6,3,16,16,16,16,16,33,33,47,47,47,47,,8,,,,,,"Autopista Golfo Centro","puente tuxpan auxiliar","PUENTE NACIONAL ALVARADO","puente alvarado",0.533,"tarifas_autopistagolfocentro.csv"
,29,58,30,138,138,138,138,138,273,273,403,403,403,403,,69,,,,,,"Autopista Golfo Centro","puente tuxpan troncal","PUENTE NACIONAL CARACOL","puente caracol",0.528,"tarifas_autopistagolfocentro.csv"
54,55,112,168,172,176,180,171,175,204,241,258,327,327,327,,84,,,,,,"Autopista Amozoc-Perote (GANA)","t1 – amozoc","Amozoc-ent. Ixtenco","Amozoc-perote",0.645,"tarifas_ganamexico.csv"
,25,51,26,69,69,69,69,69,69,103,103,106,106,106,,,,,,,,"PLAZA DE COBRO: ENT- MONTERREY-ENT. LIBRAMIENTO",,"ent. Ixtenco-ent oriental","Amozoc-perote",0.53,"tarifas_autopistasdecuota.csv"
56,28,56,83,66,70,76,66,70,76,86,86,130,130,130,,34,,,,,,"Autopista Amozoc-Perote (GANA)","a1 – a2 cuapiaxtla","ent. Ixtenco-cuapiaxtla","Amozoc-perote",0.74,"tarifas_ganamexico.csv"
57,36,72,110,143,144,148,143,144,148,188,188,253,253,253,,72,,,,,,"Autopista Amozoc-Perote (GANA)","a5 – a6 cuapiaxtla","ent. Ixtenco-cuapiaxtla","Amozoc-perote",0.74,"tarifas_ganamexico.csv"
56,64,128,193,209,214,224,209,214,224,274,274,383,383,383,,106,,,,,,"Autopista Amozoc-Perote (GANA)","t2 – cuapiaxtla","ent. Ixtenco-cuapiaxtla","Amozoc-perote",0.8,"tarifas_ganamexico.csv"
59,33,66,99,107,111,116,107,111,116,153,153,208,208,208,,54,,,,,,"Autopista Amozoc-Perote (GANA)","a3 – cantona","ent. Oriental-ent. Cantona","Amozoc-perote",0.754,"tarifas_ganamexico.csv"
60,70,141,211,201,202,205,201,202,205,248,248,361,361,361,,102,,,,,,"Autopista Amozoc-Perote (GANA)","a4 – cantona","ent. Oriental-ent. Cantona","Amozoc-perote",0.754,"tarifas_ganamexico.csv"
58,103,207,310,308,313,320,308,313,320,401,401,569,569,569,,155,,,,,,"Autopista Amozoc-Perote (GANA)","t3 – cantona","ent. Oriental-ent. Cantona","Amozoc-perote",0.754,"tarifas_ganamexico.csv"
61,37,75,112,96,98,105,96,98,105,140,140,175,175,175,,47,,,,,,"Autopista Amozoc-Perote (GANA)","lib. perote","libramiento de perote","Amozoc-perote",0.75,"tarifas_ganamexico.csv"
,316,633,323,1218,1218,,1218,1218,1218,1870,1870,2799,2799,2799,,613,,,,,,"Autopista Arco Norte","ent. méxico - puebla","ent. Ixtenco- ent. Audi","Amozoc-perote",0.554,"tarifas_arconorte.csv"
62,18,37,55,46,48,51,46,48,51,59,59,95,95,95,,21,,,,,,"Autopista Amozoc-Perote (GANA)","t5 – audi","ent. Ixtenco- ent. Audi","Amozoc-perote",0.73,"tarifas_ganamexico.csv"
65,103,206,103,252,252,252,257,257,257,347,481,682,682,682,,,,,,,,"Autopista Perote-Banderilla",,"PEROTE-BANDERILLA","Perote-banderilla",0.654,"tarifas_copexa.csv"
67,43,85,43,,,,130,130,130,314,314,450,450,450,,,,,,,,"Autopista Cardel-Veracruz","la antigua","SAN JULIÁN-VERACRUZ","cardel-veracruz",0.689,"tarifas_caseta.csv"
68,14,28,12,,,,64,64,64,124,124,149,149,149,,,,,,,,"Autopista Cardel-Veracruz","san julian","SAN JULIÁN-VERACRUZ","cardel-veracruz",0.852,"tarifas_caseta.csv"
