id|tollbooth_id|strech_name|motorbike|car|Car-axle|bus-2axle|bus-3axle|bus-4axle|truck-2axle|truck-3axle|truck-4axle|truck-5axle|truck-6axle|truck-7axle|truck-8axle|truck-9axle|Load-axle|road_length_km|fair_ref|sct_idVia|via|Motorbike-axle|Car-rush-hour|Car-evening-hour
1|71|Mexico-chalco|$12.00|$25.00|$13.00|$47.00|$47.00|$47.00|$46.00|$46.00|$74.00|$74.00|$114.00|$114.00|$114.00|$114.00|$23.00|15.055|pase|57|Mexico-puebla|||
2|926|Chalco-mexico|$12.00|$25.00|$13.00|$47.00|$47.00|$47.00|$46.00|$46.00|$74.00|$74.00|$116.00|$116.00|$116.00|$116.00|$23.00|15.055|pase|57|Mexico-puebla|||
3|7|Mexico-san martin texmelucan|$82.00|$        1 65.00|$      8 3.00|$    3 19.00|$    3 19.00|$    3 19.00|$    3 06.00|$    3 06.00|$        6 28.00|$        6 28.00|$       8 60.00|$       8 60.00|$         8 60.00|$        8 60.00|$   1 53.00|74.555|pase|57|Mexico-puebla|||
4|8|san martin texmelucan-puebla|$      2 5.00|$          5 1.00|$      2 6.00|$    1 25.00|$    1 25.00|$    1 25.00|$    1 17.00|$    1 17.00|$        2 38.00|$        2 38.00|$       3 34.00|$       3 34.00|$         3 34.00|$        3 34.00|$     5 9.00|36.155|pase|57|Mexico-puebla|||
5|188|Mexico-circuito exterior mexiquense|$14.00|$29.00||$48.00|$48.00|$48.00|$47.00|$47.00|$75.00|$75.00|$117.00|$117.00|$117.00|$117.00||15.955|pase|57|Mexico-puebla|||
6|196|LIBRAMIENTO AMECAMECA-NEPANTLA|$      3 1.00|$          6 3.00|$      3 2.00|$    1 00.00|$    1 00.00|$    1 00.00|$    1 00.00|$    1 00.00|$        1 00.00|$        1 37.00|$       1 37.00|$       1 92.00|$         1 92.00|$        1 92.00|$     5 0.00|26.81|pase|237|LIBRAMIENTO AMECAMECA-NEPANTLA|||
7|917|SAN MARTÍN TEXMELUCAN-TLAXCALA|$      4 8.00|$          9 6.00|$      4 8.00|$    1 84.00|$    1 84.00|$    1 84.00|$    1 84.00|$    2 18.00|$        2 18.00|$        3 35.00|$       3 35.00|$       4 48.00|$         4 48.00|$        4 48.00||19.419|pase|112|SAN MARTÍN TEXMELUCAN-TLAXCALA|||
8|558|JANTETELCO - EL HIGUERON|$   1 16.00|$        2 33.00|$   1 16.00|$    4 68.00|$    4 68.00|$    4 68.00|$    4 68.00|$    4 68.00|$        4 68.00|$        7 64.00|$       7 64.00|$       9 34.00|$         9 34.00|$        9 34.00|||pase|||||
9|558|JANTETELCO - EL HIGUERON|$      6 2.00|$        1 24.00|$      6 2.00|$    2 50.00|$    2 50.00|$    2 50.00|$    2 50.00|$    2 50.00|$        2 50.00|$        4 08.00|$       4 08.00|$       4 97.00|$         4 97.00|$        4 97.00|||pase|||||
10|558|JANTETELCO - EL HIGUERON|$      5 4.00|$        1 09.00|$      5 4.00|$    2 18.00|$    2 18.00|$    2 18.00|$    2 18.00|$    2 18.00|$        2 18.00|$        3 58.00|$       3 58.00|$       4 36.00|$         4 36.00|$        4 36.00|||pase|||||
11|26|PUEBLA-ACATZINGO|$      4 5.00|$          9 0.00|$      4 5.00|$    1 79.00|$    1 79.00|$    1 79.00|$    1 71.00|$    1 71.00|$        3 28.00|$        3 28.00|$       4 38.00|$       4 38.00|$         4 38.00|$        4 38.00|$     8 6.00|42.27|pase|192|Puebla-acatzingo|||
12|26|PUEBLA-Amozoc|$      2 3.00|$          4 6.00|$      2 3.00|$       9 0.00|$       9 0.00|$       9 0.00|$       8 7.00|$       8 7.00|$        1 64.00|$        1 64.00|$       2 30.00|$       2 30.00|$         2 30.00|$        2 30.00|$     4 4.00|13.758|pase|192|Puebla-acatzingo|||
13|26|Puebla-ent. Amozoc III|7|15||34|34|34|33|33|58|58|75|75|75|75||6.879|sct_site|192|Puebla-acatzingo|||
14|594|CUAPIAXTLA-CUACNOPALAN|$      7 5.00|$        1 50.00|$      7 5.00|$    2 99.00|$    2 99.00|$    2 99.00|$    2 99.00|$    2 99.00|$        2 99.00|$        5 40.00|$       5 40.00|$       8 58.00|$         8 58.00|$        8 58.00|||pase|||||
15|594|CUAPIAXTLA-CUACNOPALAN|$      4 7.00|$          9 3.00|$      4 7.00|$    1 86.00|$    1 86.00|$    1 86.00|$    1 86.00|$    1 86.00|$        1 86.00|$        3 36.00|$       3 36.00|$       5 34.00|$         5 34.00|$        5 34.00|||pase|||||
16|594|CUAPIAXTLA-CUACNOPALAN|$      2 8.00|$          5 6.00|$      2 8.00|$    1 13.00|$    1 13.00|$    1 13.00|$    1 13.00|$    1 13.00|$        1 13.00|$        2 04.00|$       2 04.00|$       3 24.00|$         3 24.00|$        3 24.00|||pase|||||
17|27|ACATZINGO-CD. MENDOZA|$      8 5.00|$        1 70.00|$      8 5.00|$    3 73.00|$    3 73.00|$    3 73.00|$    3 52.00|$    3 52.00|$        6 80.00|$        6 80.00|$       9 90.00|$       9 90.00|$         9 90.00|$        9 90.00|$   1 76.00|92.95|pase|193|ACATZINGO-CD. MENDOZA|||
18|27|ACATZINGO-esperanza|$      4 5.00|$          9 0.00|$      4 5.00|$    1 86.00|$    1 86.00|$    1 86.00|$    1 84.00|$    1 84.00|$        3 39.00|$        3 39.00|$       4 95.00|$       4 95.00|$         4 95.00|$        4 95.00|$     9 2.00|47.375|pase|193|ACATZINGO-CD. MENDOZA|||
19|27|Esperanza-cd mendoza|$      4 5.00|$          9 0.00|$      4 5.00|$    1 86.00|$    1 86.00|$    1 86.00|$    1 84.00|$    1 84.00|$        3 39.00|$        3 39.00|$       4 95.00|$       4 95.00|$         4 95.00|$        4 95.00|$     9 2.00|45.575|pase|193|ACATZINGO-CD. MENDOZA|||
20|116|CORDOBA-la tinaja|$      7 0.00|$        1 40.00|$      7 0.00|$    1 90.00|$    1 90.00|$    1 90.00|$    1 78.00|$    1 78.00|$        1 78.00|$        2 53.00|$       2 53.00|$       2 66.00|$         2 66.00|$        2 66.00|$     8 9.00|45|pase|16|CORDOBA-VERACRUZ|||
21|116|Cuitlahuac-la tinaja|$      4 8.00|$          9 6.00|$      4 8.00|$    1 31.00|$    1 31.00|$    1 31.00|$    1 20.00|$    1 20.00|$        1 20.00|$        1 68.00|$       1 68.00|$       1 65.00|$         1 65.00|$        1 65.00|$     6 0.00|30.86|pase|16|CORDOBA-VERACRUZ|||
22|116|Cordoba-cuitlahuac|$      2 4.00|$          4 9.00|$      2 5.00|$       5 8.00|$       5 8.00|$       5 8.00|$       5 7.00|$       5 7.00|$          5 7.00|$          8 5.00|$         8 5.00|$         8 2.00|$           8 2.00|$          8 2.00|$     2 9.00|14.14|pase|16|CORDOBA-VERACRUZ|||
23|117|la tinaja-veracruz|$      6 5.00|$        1 30.00|$      6 5.00|$    2 06.00|$    2 06.00|$    2 06.00|$    2 03.00|$    2 03.00|$        2 03.00|$        2 63.00|$       2 63.00|$       3 07.00|$         3 07.00|$        3 07.00|$   1 02.00|53|pase|16|CORDOBA-VERACRUZ|||
24|117|la tinaja-paso del toro|$      5 3.00|$        1 06.00|$      5 3.00|$    1 67.00|$    1 67.00|$    1 67.00|$    1 65.00|$    1 65.00|$        1 65.00|$        2 22.00|$       2 22.00|$       2 53.00|$         2 53.00|$        2 53.00|$     8 3.00|44.9|pase|16|CORDOBA-VERACRUZ|||
25|117|paso del toro-veracruz|$      1 0.00|$          2 0.00|$      1 0.00|$       3 9.00|$       3 9.00|$       3 9.00|$       3 6.00|$       3 6.00|$          3 6.00|$          4 3.00|$         4 3.00|$         4 8.00|$           4 8.00|$          4 8.00|$     1 8.00|8.1|pase|16|CORDOBA-VERACRUZ|||
26|76|Cuacnopalan-tehuacán|$      2 7.00|$          5 5.00|$      2 8.00|$    1 25.00|$    1 25.00|$    1 25.00|$    1 24.00|$    1 24.00|$        1 55.00|$        1 55.00|$       2 43.00|$       2 43.00|$         2 43.00|$        2 43.00|$     6 2.00|41.048|pase|115|Cuacnopalan-oaxaca|||
27|77|Tehuacán-miahuatlán|$      2 0.00|$          4 0.00|$      2 0.00|$       6 5.00|$       6 5.00|$       6 5.00|$       6 4.00|$       6 4.00|$          9 0.00|$          9 0.00|$       1 33.00|$       1 33.00|$         1 33.00|$        1 33.00|$     3 2.00|30.367|pase|115|Cuacnopalan-oaxaca|||
28|78|Miahuatlán-nochixtlán|$      4 7.00|$          9 5.00|$      4 8.00|$    1 99.00|$    1 99.00|$    1 99.00|$    1 98.00|$    1 98.00|$        2 41.00|$        2 41.00|$       3 36.00|$       3 36.00|$         3 36.00|$        3 36.00|$     9 9.00|107.085|pase|115|Cuacnopalan-oaxaca|||
29|78|Miahuatlán-coixtlahuaca|$      2 3.00|$          4 6.00|$      2 3.00|$    1 01.00|$    1 01.00|$    1 01.00|$       9 7.00|$       9 7.00|$        1 16.00|$        1 16.00|$       1 67.00|$       1 67.00|$         1 67.00|$        1 67.00|$     4 9.00|69.885|pase|115|Cuacnopalan-oaxaca|||
30|79|Nochixtlán-oaxaca|$      5 4.00|$        1 09.00|$      5 5.00|$    2 51.00|$    2 51.00|$    2 51.00|$    2 50.00|$    2 50.00|$        2 91.00|$        2 91.00|$       4 53.00|$       4 53.00|$         4 53.00|$        4 53.00|$   1 25.00|64.5|pase|115|Cuacnopalan-oaxaca|||
