id|pase_id|name|open|road|operator_2025
|155|El arenal|1||
|156|plan de barracas|1||
|581|Amado Nervo|1||
|446|la cantera|1||
|407|san blas|1||
|53|Compostela|1||
|157|santa maria del oro|1||
|407|benito juarez-san blas|1||
|403|trapichillo|1||
|582|Compostela|1||
|404|trapichillo bis|1||
|200|mesillas|1||
|197|coscomate|1||
|96|llano grande|1||
|198|durango capufe|1||
|480|durango|1||
|481|yerbanis|1||
|482|cuencame|1||
|483|león guzmán|1||
|488|san pedro torreón|1||
|163|la cuchilla|1||
|162|play de ayala|1||
|160|bermejillo|1||
|161|ceballos|1||
|229|sacramento|1||
|228|jiménez|1||
|492|torreón|1||
|491|ojo caliente|1||
|490|periferico|1||
|140|la carbonera|1||
|141|los chorros|1||
|142|huachichil|1||
|421|libramiento matehuala|1||
|499|lincon|1||
|452|apodaca|1||
|505|juárez|1||
|450|cadereyta|1||
|451|guadalupe|1||
|40|cadereyta|1||
|586|Agujita-allende|1||
|65|acuña|1||
|108|sabinas|1||
|109|agualeguas|1||
|110|parás|1||
|938|nuevo laredo pinfra|1||
|128|general bravo|1||
|131|doctor cross|1||
|128|general bravo|1||
|129|los herrera|1||
|130|los ramones|1||
|15|lucio blanco|1||
|194|san fernando|1||
|75|reynosa phar|1||
|171|ignacio zaragoza “los tomates”|1||
|170|nuevo progreso|1||
|74|Juárez-lincon|1||
|31|miguel alemán|1||
|48|san juan|1||
|30|camargo|1||
|37|reynosa|1||
|47|las flores|1||
|50|ojinaga|1||
|20|matamoros|1||
|62|piedras negras|1||
|419|libramiento de mexicalli|1||
|83|el hongo|1||
|34|tijuana|1||
|35|rosarito|1||
|189|nodo popotla|1||
|415|tecate|1||
|418|paso del aguila|1||
|467|paso del aguila bis|1||
|417|dart|1||
|422|las esperanzas|1||
|150|esperanza|1||
|422|las esperanzas|1||
|36|ensenada|1||
|71|chalco|1||
|7|san marcos|1||
|926|ixtapaluca|1||
|188|san barcos bis|1||
|71|chalco|1||
|316|circuito exterior mexiquense|1||
|8|san marti puebla|1||
|69|jorobas|1||
|939|nabor carrillo|1||
|575|Tizatyca (ojo de agua)|1||
|576|entronque ojo de agua|1||
|914|texcoco|1||
|196|ozumba|1||
|917|san martín texmelucan|1||
|558|el higueron|1||
||siglo xxi|1||
|26|amozoc|1||
|990|Amazoc-perote|1||
||el seco|1||
|460|las vigas|1||
|461|miradores|1||
|457|antigua|1||
|458|san julián|1||
|459|plan del rio|1||
|33|nautla|1||
|179|las chopas|1||
|181|malpasito|1||
|182|OCOZOCOAUTLA (OCUILAPA)|1||
|929|chiapa de corzo viapass|1||
|930|arriaga viapass|1||
|931|coita viapass|1||
|932|jiquipilas|1||
|176|sánchez magallanes|1||
|227|nacajuca|1||
|38|grijalva|1||
|39|usumacinta|1||
|164|zacatal|1||
|132|la seyba|1||
|573|ecatepec (san cristobal)|1||
|574|revolución|1||
|904|ecatepec (pirámidesl)|1||
|905|tepexpan|1||
|928|Tezoyuca (589)|1||
|913|peñón|1||
|914|texcoco|1||
|915|ent. Peñón|1||
|577|tejocotal|1||
|578|nuevo necaxa|1||
|92|nuevo necaxa|0||
|585|el piñal|1||
|584|miahuapan|1||
|579|tuxpan|1||
|580|tihuatlan|1||
|556|naranjos|1||
|464|los gil|1||
|177|totomoxtle|1||
|555|totomoxtle II|1||
|569|vega de alatorre|1||
|43|tecolutla|1||
|112|Libramiento poniente tampico|1||
|49|puente nacional tampico|1||
|14|puente nacional pánuco|1||
|4|tepotzotlan|1||
|5|palmillas|1||
|207|palmillas bis|1||
|70|polotitlan|1||
|6|querétaro|1||
|61|libramiento sur poniente querétaro|1||
|590|crespo|1||
|591|laja|1||
|592|san miguel|1||
|183|villagran|1||
|185|cerro gordo|1||
|41|salamanca|1||
|564|arandas|1||
|563|yostiro|1||
